Obs_date,SLEV(metres)
2018-01-01,3.039
2018-01-02,3.084
2018-01-03,3.135
2018-01-04,3.193
2018-01-05,3.204
2018-01-06,3.104
2018-01-07,3.165
2018-01-08,3.227
2018-01-09,3.269
2018-01-10,3.151
2018-01-11,3.211
2018-01-12,3.155
2018-01-13,3.098
2018-01-14,3.133
2018-01-15,3.227
2018-01-16,3.257
2018-01-17,3.422
2018-01-18,3.515
2018-01-19,3.43
2018-01-20,3.35
2018-01-21,3.533
2018-01-22,3.211
2018-01-23,3.28
2018-01-24,3.368
2018-01-25,3.331
2018-01-26,3.202
2018-01-27,3.313
2018-01-28,3.235
2018-01-29,3.413
2018-01-30,3.332
2018-01-31,3.259
2018-02-01,3.217
2018-02-02,3.187
2018-02-03,3.11
2018-02-04,3.155
2018-02-05,3.072
2018-02-06,3.006
2018-02-07,3.005
2018-02-08,3.131
2018-02-09,3.016
2018-02-10,2.978
2018-02-11,3.105
2018-02-12,2.995
2018-02-13,3.059
2018-02-14,3.106
2018-02-15,2.95
2018-02-16,3.024
2018-02-17,3.249
2018-02-18,3.044
2018-02-19,2.894
2018-02-20,2.905
2018-02-21,2.879
2018-02-22,2.858
2018-02-23,2.89
2018-02-24,2.966
2018-02-25,3.121
2018-02-26,2.985
2018-02-27,3.075
2018-02-28,3.224
2018-03-01,3.349
2018-03-02,3.297
2018-03-03,3.173
2018-03-04,3.117
2018-03-05,3.001
2018-03-06,2.97
2018-03-07,3.007
2018-03-08,3.195
2018-03-09,3.151
2018-03-10,3.065
2018-03-11,3.061
2018-03-12,3.105
2018-03-13,3.231
2018-03-14,3.237
2018-03-15,3.258
2018-03-16,3.255
2018-03-17,3.232
2018-03-18,3.144
2018-03-19,3.083
2018-03-20,3.105
2018-03-21,3.172
2018-03-22,3.263
2018-03-23,3.235
2018-03-24,3.19
2018-03-25,3.131
2018-03-26,3.142
2018-03-27,3.137
2018-03-28,3.048
2018-03-29,3.026
2018-03-30,3.071
2018-03-31,3.003
2018-04-01,3.122
2018-04-02,3.044
2018-04-03,3.005
2018-04-04,2.98
2018-04-05,3.058
2018-04-06,3.114
2018-04-07,3.33
2018-04-08,3.236
2018-04-09,3.089
2018-04-10,3.24
2018-04-11,3.3
2018-04-12,3.209
2018-04-13,3.176
2018-04-14,3.164
2018-04-15,3.221
2018-04-16,3.248
2018-04-17,3.07
2018-04-18,2.975
2018-04-19,2.925
2018-04-20,2.948
2018-04-21,2.957
2018-04-22,2.862
2018-04-23,2.849
2018-04-24,2.921
2018-04-25,2.999
2018-04-26,3.107
2018-04-27,3.194
2018-04-28,3.193
2018-04-29,3.189
2018-04-30,3.11
2018-05-01,3.091
2018-05-02,3.057
2018-05-03,3.059
2018-05-04,3.015
2018-05-05,3.022
2018-05-06,3.077
2018-05-07,3.071
2018-05-08,3.139
2018-05-09,3.177
2018-05-10,3.137
2018-05-11,3.03
2018-05-12,3.051
2018-05-13,3.098
2018-05-14,3.13
2018-05-15,3.213
2018-05-16,3.226
2018-05-17,3.164
2018-05-18,3.143
2018-05-19,3.112
2018-05-20,3.092
2018-05-21,3.047
2018-05-22,3.073
2018-05-23,3.142
2018-05-24,3.137
2018-05-25,3.154
2018-05-26,3.132
2018-05-27,3.113
2018-05-28,3.099
2018-05-29,3.075
2018-05-30,3.064
2018-05-31,3.132
2018-06-01,3.076
2018-06-02,3.023
2018-06-03,3.09
2018-06-04,3.096
2018-06-05,3.122
2018-06-06,3.116
2018-06-07,3.103
2018-06-08,3.139
2018-06-09,3.182
2018-06-10,3.165
2018-06-11,3.116
2018-06-12,3.116
2018-06-13,3.176
2018-06-14,3.122
2018-06-15,3.141
2018-06-16,3.051
2018-06-17,3.046
2018-06-18,3.084
2018-06-19,3.114
2018-06-20,3.144
2018-06-21,3.148
2018-06-22,3.132
2018-06-23,3.094
2018-06-24,3.127
2018-06-25,3.109
2018-06-26,3.043
2018-06-27,3.078
2018-06-28,3.094
2018-06-29,3.097
2018-06-30,3.102
2018-07-01,3.093
