,Name,Watershed,Latitude,Longitude,Population_polluting
0,Edmonds port,puget,47.815885,-122.385012,103300
1,Oak Harbor,skagit,48.26678,-122.643507,24760
4,Victoria Harbor,jdf,48.41695,-123.395355,256186
5,Squamish,howe,49.69219207763672,-123.18656921386719,23819
6,Burrard,howe,49.31544494628906,-123.13983154296875,886193
15,Tumwater,jdf,48.124725341796875,-123.43988037109375,20200
60,ClearBarker,puget,47.5662956237793,-122.61951446533203,45220
61,BigValley,puget,47.70595169067383,-122.61902618408203,25060
72,Deschutes,puget,47.0590934753418,-122.90727996826172,56370
74,Woodland,puget,47.12038040161133,-122.83416748046875,58180
75,Chambers,puget,47.18718719482422,-122.58753204345703,99220
77,Puyallup,puget,47.26699447631836,-122.43389129638672,220800
78,Hylebas,puget,47.28432083129883,-122.41390228271484,289960
79,Duwamish1,puget,47.58230972290039,-122.35884094238281,243500
80,Duwamish2,puget,47.591957092285156,-122.34629821777344,1379160
81,CedarSammamish,puget,47.675682067871094,-122.41584777832031,176940
82,Skagit1,skagit,48.29680633544922,-122.36100006103516,35500
86,Stillaguamish1,skagit,48.20038986206055,-122.35502624511719,21260
89,SnohomishAllenQuilceda,skagit,48.0328483581543,-122.20056915283203,226380
92,Dakota,fraser,48.97305679321289,-122.75082397460938,183505
96,Lakethingo,fraser,48.75141525268555,-122.49340057373047,93910
98,Fraser,fraser,49.116204,-123.189394,1710911
100,Qunisam,evi_n,50.047454833984375,-125.25733947753906,35519
158,Cowichan1,evi_s,48.759521484375,-123.63277435302734,31990
164,NorNanaimo,evi_s,49.1744499206543,-123.93748474121094,99863
174,Puntledge,evi_s,49.672542572021484,-124.96649932861328,28420
