,b1,b2,b3,b4,b5
0,570.0,513.0,457.0,618.0,415.0
1,572.0,517.0,460.0,622.0,420.0
2,586.0,534.0,484.0,628.0,438.0
3,588.0,546.0,502.0,641.0,474.0
4,631.0,590.0,568.0,672.0,561.0
5,682.0,626.0,578.0,717.0,549.0
6,665.0,612.0,573.0,704.0,524.0
7,631.0,582.0,544.0,676.0,513.0
8,633.0,581.0,536.0,664.0,500.0
9,616.0,573.0,522.0,667.0,498.0
10,655.0,614.0,577.0,717.0,544.0
11,657.0,620.0,583.0,689.0,547.0
12,717.0,688.0,624.0,746.0,578.0
13,695.0,641.0,597.0,725.0,587.0
14,683.0,650.0,609.0,757.0,553.0
15,701.0,657.0,637.0,754.0,583.0
16,740.0,682.0,620.0,751.0,580.0
17,697.0,628.0,587.0,744.0,552.0
18,689.0,617.0,574.0,725.0,556.0
19,664.0,626.0,577.0,726.0,535.0
20,671.0,630.0,562.0,713.0,527.0
21,666.0,596.0,536.0,717.0,508.0
22,660.0,576.0,538.0,716.0,486.0
23,639.0,576.0,509.0,686.0,482.0
24,655.0,589.0,516.0,689.0,477.0
25,609.0,574.0,526.0,680.0,463.0
26,615.0,564.0,499.0,657.0,468.0
27,613.0,569.0,513.0,655.0,481.0
28,621.0,572.0,519.0,662.0,498.0
29,655.0,597.0,541.0,684.0,480.0
30,655.0,607.0,551.0,702.0,487.0
31,631.0,578.0,546.0,689.0,500.0
32,639.0,561.0,518.0,683.0,477.0
33,639.0,568.0,527.0,674.0,482.0
34,656.0,599.0,548.0,697.0,488.0
35,669.0,608.0,569.0,716.0,505.0
36,677.0,644.0,575.0,726.0,532.0
37,676.0,614.0,565.0,726.0,535.0
38,659.0,620.0,553.0,706.0,523.0
39,663.0,601.0,539.0,716.0,483.0
40,638.0,590.0,535.0,701.0,501.0
41,652.0,593.0,515.0,681.0,479.0
42,626.0,577.0,535.0,670.0,476.0
43,638.0,594.0,521.0,687.0,488.0
44,628.0,578.0,504.0,676.0,473.0
45,633.0,562.0,491.0,665.0,468.0
46,632.0,566.0,517.0,661.0,472.0
47,615.0,556.0,497.0,663.0,472.0
48,614.0,548.0,502.0,660.0,463.0
49,618.0,562.0,508.0,676.0,474.0
50,613.0,569.0,502.0,667.0,460.0
51,622.0,571.0,522.0,685.0,479.0
52,636.0,579.0,527.0,680.0,485.0
53,626.0,572.0,520.0,683.0,473.0
54,624.0,563.0,520.0,669.0,502.0
55,625.0,564.0,522.0,674.0,485.0
56,640.0,588.0,523.0,688.0,508.0
57,663.0,578.0,546.0,672.0,529.0
58,625.0,587.0,524.0,670.0,479.0
59,629.0,577.0,527.0,688.0,489.0
60,621.0,580.0,524.0,665.0,478.0
61,616.0,561.0,504.0,673.0,454.0
62,622.0,566.0,516.0,701.0,469.0
63,621.0,555.0,508.0,668.0,487.0
64,619.0,562.0,503.0,662.0,461.0
