,b1,b2,b3,b4,b5
0,453.0,417.0,392.0,466.0,366.0
1,453.0,419.0,396.0,467.0,371.0
2,479.0,438.0,423.0,484.0,395.0
3,475.0,452.0,431.0,486.0,420.0
4,510.0,510.0,489.0,518.0,471.0
5,564.0,544.0,547.0,572.0,529.0
6,551.0,519.0,494.0,552.0,499.0
7,527.0,505.0,478.0,532.0,451.0
8,533.0,482.0,487.0,518.0,456.0
9,517.0,487.0,480.0,522.0,459.0
10,567.0,560.0,517.0,586.0,503.0
11,554.0,538.0,508.0,560.0,512.0
12,603.0,559.0,569.0,597.0,540.0
13,595.0,581.0,556.0,580.0,506.0
14,593.0,560.0,530.0,589.0,539.0
15,594.0,567.0,549.0,585.0,542.0
16,582.0,561.0,534.0,607.0,512.0
17,579.0,529.0,518.0,598.0,522.0
18,596.0,558.0,531.0,579.0,504.0
19,575.0,536.0,500.0,582.0,496.0
20,554.0,521.0,508.0,565.0,468.0
21,558.0,510.0,479.0,577.0,486.0
22,543.0,507.0,476.0,553.0,461.0
23,537.0,504.0,473.0,549.0,444.0
24,530.0,472.0,458.0,546.0,429.0
25,501.0,466.0,435.0,512.0,425.0
26,505.0,472.0,464.0,517.0,411.0
27,505.0,481.0,451.0,532.0,448.0
28,527.0,482.0,466.0,533.0,449.0
29,546.0,518.0,491.0,561.0,473.0
30,553.0,504.0,481.0,539.0,449.0
31,524.0,489.0,478.0,545.0,459.0
32,511.0,509.0,464.0,529.0,436.0
33,517.0,485.0,471.0,532.0,439.0
34,537.0,493.0,489.0,547.0,462.0
35,549.0,524.0,484.0,585.0,469.0
36,579.0,544.0,529.0,587.0,511.0
37,555.0,549.0,512.0,592.0,515.0
38,553.0,536.0,499.0,576.0,488.0
39,553.0,518.0,509.0,562.0,464.0
40,518.0,500.0,476.0,540.0,458.0
41,529.0,505.0,469.0,554.0,439.0
42,540.0,491.0,462.0,540.0,424.0
43,529.0,485.0,460.0,532.0,457.0
44,519.0,486.0,446.0,524.0,428.0
45,532.0,477.0,469.0,534.0,450.0
46,532.0,490.0,479.0,539.0,447.0
47,516.0,473.0,457.0,543.0,426.0
48,502.0,476.0,455.0,517.0,438.0
49,514.0,502.0,464.0,529.0,430.0
50,516.0,479.0,461.0,513.0,420.0
51,543.0,504.0,482.0,549.0,449.0
52,536.0,499.0,463.0,558.0,459.0
53,532.0,492.0,472.0,560.0,422.0
54,520.0,484.0,470.0,532.0,454.0
55,537.0,495.0,475.0,530.0,449.0
56,534.0,506.0,494.0,539.0,443.0
57,559.0,524.0,485.0,565.0,471.0
58,526.0,489.0,488.0,543.0,428.0
