,DeployT,Timeg
0,2015-01-01 12:00:00,10
1,2015-01-01 12:00:00,0
2,2015-01-01 12:00:00,14
3,2015-01-01 12:00:00,140
4,2015-01-01 12:00:00,11
5,2015-01-01 12:00:00,14
6,2015-01-01 12:00:00,16
7,2015-01-01 12:00:00,22
8,2015-01-01 12:00:00,16
9,2015-01-01 12:00:00,13
10,2015-01-01 12:00:00,149
11,2015-01-01 12:00:00,284
12,2015-01-01 12:00:00,145
13,2015-01-01 12:00:00,138
14,2015-01-01 12:00:00,15
15,2015-01-01 12:00:00,10
16,2015-01-01 12:00:00,645
17,2015-01-01 12:00:00,8
18,2015-01-01 12:00:00,142
19,2015-01-01 12:00:00,25
20,2015-01-01 12:00:00,16
21,2015-01-01 12:00:00,18
22,2015-01-01 12:00:00,8
23,2015-01-01 12:00:00,17
24,2015-01-01 12:00:00,8
25,2015-01-01 12:00:00,10
26,2015-01-01 12:00:00,599
27,2015-01-01 12:00:00,426
28,2015-01-01 12:00:00,9
29,2015-01-01 12:00:00,396
30,2015-01-01 12:00:00,13
31,2015-01-01 12:00:00,12
32,2015-01-01 12:00:00,149
33,2015-01-01 12:00:00,142
34,2015-01-01 12:00:00,93
35,2015-01-01 12:00:00,151
36,2015-01-01 12:00:00,7
37,2015-01-01 12:00:00,249
38,2015-01-01 12:00:00,12
39,2015-01-01 12:00:00,102
40,2015-01-01 12:00:00,84
41,2015-01-01 12:00:00,92
42,2015-01-01 12:00:00,10
43,2015-01-01 12:00:00,10
44,2015-01-01 12:00:00,214
45,2015-01-01 12:00:00,11
46,2015-01-01 12:00:00,309
47,2015-01-01 12:00:00,103
48,2015-01-01 12:00:00,19
49,2015-01-01 12:00:00,11
50,2015-01-01 12:00:00,123
51,2015-01-01 12:00:00,14
52,2015-01-01 12:00:00,252
53,2015-01-01 12:00:00,15
54,2015-01-01 12:00:00,10
55,2015-01-01 12:00:00,121
56,2015-01-01 12:00:00,0
57,2015-01-01 12:00:00,0
58,2015-01-01 12:00:00,128
59,2015-01-01 12:00:00,143
60,2015-01-01 12:00:00,375
61,2015-01-01 12:00:00,11
62,2015-01-01 12:00:00,117
63,2015-01-01 12:00:00,183
64,2015-01-01 12:00:00,11
65,2015-01-01 12:00:00,11
66,2015-01-01 12:00:00,12
67,2015-01-01 12:00:00,149
68,2015-01-01 12:00:00,146
69,2015-01-01 12:00:00,11
70,2015-01-01 12:00:00,10
71,2015-01-01 12:00:00,104
72,2015-01-01 12:00:00,561
73,2015-01-01 12:00:00,400
74,2015-01-01 12:00:00,11
75,2015-01-01 12:00:00,143
76,2015-01-01 12:00:00,651
77,2015-01-01 12:00:00,103
78,2015-01-01 12:00:00,487
79,2015-01-01 12:00:00,11
80,2015-01-01 12:00:00,637
81,2015-01-01 12:00:00,106
82,2015-01-01 12:00:00,11
83,2015-01-01 12:00:00,0
84,2015-01-01 12:00:00,16
85,2015-01-01 12:00:00,421
86,2015-01-01 12:00:00,0
87,2015-01-01 12:00:00,10
88,2015-01-01 12:00:00,108
89,2015-01-01 12:00:00,10
90,2015-01-01 12:00:00,91
91,2015-01-01 12:00:00,11
92,2015-01-01 12:00:00,154
93,2015-01-01 12:00:00,488
94,2015-01-01 12:00:00,161
95,2015-01-01 12:00:00,117
96,2015-01-01 12:00:00,204
97,2015-01-01 12:00:00,0
98,2015-01-01 12:00:00,94
99,2015-01-01 12:00:00,17
100,2015-01-01 12:00:00,12
101,2015-01-01 12:00:00,120
102,2015-01-01 12:00:00,183
103,2015-01-01 12:00:00,127
104,2015-01-01 12:00:00,0
105,2015-01-01 12:00:00,209
106,2015-01-01 12:00:00,12
