,b1,b2,b3,b4,b5
0,1263.0,1175.0,953.0,1360.0,903.0
1,1264.0,1175.0,955.0,1361.0,903.0
2,1269.0,1182.0,963.0,1363.0,919.0
3,1284.0,1199.0,981.0,1374.0,936.0
4,1276.0,1191.0,979.0,1377.0,932.0
5,1283.0,1199.0,980.0,1371.0,940.0
6,1293.0,1203.0,987.0,1378.0,933.0
7,1303.0,1215.0,1006.0,1392.0,962.0
8,1299.0,1221.0,1013.0,1394.0,961.0
9,1306.0,1218.0,1015.0,1392.0,948.0
10,1307.0,1217.0,1014.0,1412.0,965.0
11,1380.0,1273.0,1084.0,1456.0,1011.0
12,1352.0,1317.0,1083.0,1445.0,1058.0
13,1397.0,1319.0,1080.0,1473.0,1060.0
14,1383.0,1256.0,1049.0,1474.0,1010.0
15,1332.0,1250.0,1031.0,1426.0,962.0
16,1307.0,1220.0,1007.0,1408.0,964.0
17,1294.0,1206.0,1001.0,1394.0,961.0
18,1296.0,1221.0,999.0,1408.0,970.0
19,1301.0,1209.0,1006.0,1384.0,956.0
20,1299.0,1221.0,993.0,1388.0,960.0
21,1305.0,1206.0,999.0,1388.0,951.0
22,1286.0,1219.0,998.0,1390.0,945.0
23,1299.0,1218.0,1002.0,1391.0,962.0
24,1317.0,1224.0,1002.0,1395.0,960.0
25,1296.0,1228.0,994.0,1405.0,962.0
26,1305.0,1241.0,1019.0,1396.0,974.0
27,1312.0,1213.0,1001.0,1414.0,946.0
28,1293.0,1205.0,997.0,1385.0,946.0
29,1295.0,1211.0,982.0,1388.0,946.0
30,1288.0,1200.0,991.0,1386.0,953.0
31,1294.0,1207.0,991.0,1383.0,954.0
32,1293.0,1211.0,1007.0,1395.0,957.0
33,1290.0,1226.0,994.0,1384.0,951.0
34,1299.0,1214.0,1009.0,1398.0,961.0
35,1311.0,1235.0,1041.0,1391.0,974.0
36,1321.0,1232.0,1013.0,1411.0,988.0
37,1318.0,1227.0,1008.0,1400.0,962.0
38,1293.0,1232.0,1007.0,1413.0,956.0
39,1332.0,1243.0,1022.0,1409.0,976.0
40,1322.0,1233.0,1025.0,1421.0,971.0
41,1329.0,1247.0,1028.0,1417.0,984.0
42,1342.0,1244.0,1018.0,1417.0,975.0
43,1325.0,1249.0,1010.0,1421.0,967.0
44,1327.0,1241.0,1025.0,1410.0,984.0
45,1322.0,1234.0,1036.0,1423.0,983.0
46,1316.0,1254.0,1009.0,1435.0,975.0
47,1324.0,1253.0,1013.0,1447.0,977.0
48,1338.0,1236.0,1020.0,1433.0,966.0
49,1316.0,1225.0,1012.0,1420.0,968.0
50,1315.0,1230.0,1030.0,1423.0,969.0
51,1320.0,1244.0,1031.0,1419.0,983.0
52,1330.0,1234.0,1028.0,1425.0,979.0
53,1320.0,1238.0,1036.0,1414.0,961.0
54,1312.0,1230.0,1003.0,1419.0,957.0
55,1323.0,1248.0,1015.0,1412.0,960.0
56,1309.0,1231.0,1013.0,1416.0,961.0
57,1305.0,1231.0,1015.0,1411.0,961.0
58,1310.0,1221.0,997.0,1402.0,953.0
59,1304.0,1209.0,993.0,1389.0,959.0
60,1312.0,1225.0,1005.0,1419.0,965.0
61,1305.0,1232.0,1002.0,1402.0,954.0
62,1292.0,1221.0,1007.0,1398.0,947.0
63,1296.0,1220.0,999.0,1391.0,943.0
64,1298.0,1228.0,993.0,1400.0,947.0
65,1312.0,1229.0,991.0,1401.0,951.0
66,1301.0,1220.0,1011.0,1395.0,972.0
67,1316.0,1219.0,1001.0,1405.0,950.0
68,1307.0,1217.0,1002.0,1399.0,960.0
69,1304.0,1212.0,1006.0,1403.0,954.0
70,1294.0,1212.0,985.0,1395.0,941.0
71,1291.0,1206.0,981.0,1382.0,937.0
72,1288.0,1214.0,981.0,1384.0,943.0
73,1286.0,1205.0,984.0,1384.0,932.0
74,1292.0,1209.0,990.0,1392.0,942.0
75,1291.0,1214.0,994.0,1386.0,948.0
76,1306.0,1205.0,1001.0,1395.0,955.0
77,1301.0,1215.0,989.0,1397.0,953.0
78,1300.0,1207.0,983.0,1392.0,947.0
79,1297.0,1205.0,995.0,1386.0,933.0
80,1289.0,1204.0,987.0,1381.0,938.0
81,1298.0,1205.0,985.0,1387.0,934.0
82,1291.0,1209.0,990.0,1382.0,934.0
83,1298.0,1213.0,999.0,1384.0,960.0
84,1321.0,1205.0,986.0,1402.0,932.0
85,1299.0,1214.0,987.0,1387.0,934.0
86,1292.0,1194.0,984.0,1395.0,942.0
87,1305.0,1207.0,985.0,1383.0,930.0
88,1288.0,1213.0,984.0,1396.0,934.0
89,1304.0,1208.0,995.0,1399.0,927.0
90,1303.0,1205.0,980.0,1400.0,934.0
91,1304.0,1203.0,988.0,1383.0,940.0
92,1298.0,1206.0,991.0,1397.0,941.0
93,1295.0,1219.0,996.0,1393.0,953.0
94,1314.0,1219.0,994.0,1393.0,944.0
95,1312.0,1221.0,994.0,1388.0,949.0
96,1304.0,1207.0,992.0,1402.0,954.0
97,1300.0,1218.0,986.0,1387.0,943.0
98,1297.0,1208.0,995.0,1400.0,931.0
99,1300.0,1209.0,990.0,1401.0,939.0
100,1290.0,1214.0,992.0,1399.0,952.0
101,1290.0,1217.0,997.0,1398.0,963.0
102,1300.0,1231.0,998.0,1390.0,944.0
103,1310.0,1223.0,1011.0,1398.0,962.0
104,1312.0,1229.0,1011.0,1406.0,966.0
105,1321.0,1216.0,1000.0,1419.0,954.0
106,1299.0,1218.0,992.0,1403.0,937.0
107,1302.0,1232.0,1004.0,1397.0,961.0
108,1312.0,1211.0,1009.0,1417.0,960.0
109,1315.0,1225.0,1013.0,1411.0,960.0
110,1310.0,1226.0,1004.0,1400.0,960.0
111,1313.0,1229.0,989.0,1408.0,946.0
112,1316.0,1213.0,998.0,1409.0,946.0
113,1314.0,1212.0,999.0,1405.0,943.0
114,1303.0,1213.0,980.0,1395.0,943.0
115,1287.0,1210.0,989.0,1391.0,940.0
116,1306.0,1211.0,989.0,1390.0,940.0
117,1298.0,1206.0,983.0,1378.0,936.0
118,1288.0,1199.0,986.0,1391.0,934.0
119,1287.0,1201.0,979.0,1394.0,934.0
120,1281.0,1193.0,982.0,1374.0,930.0
121,1284.0,1203.0,978.0,1381.0,931.0
122,1289.0,1198.0,984.0,1375.0,935.0
123,1288.0,1191.0,980.0,1375.0,928.0
124,1286.0,1211.0,985.0,1386.0,937.0
125,1302.0,1198.0,986.0,1388.0,934.0
126,1289.0,1210.0,979.0,1377.0,933.0
127,1287.0,1197.0,980.0,1376.0,926.0
128,1278.0,1197.0,984.0,1371.0,926.0
129,1282.0,1195.0,982.0,1366.0,915.0
130,1284.0,1191.0,968.0,1376.0,924.0
131,1278.0,1186.0,980.0,1374.0,923.0
132,1279.0,1202.0,971.0,1377.0,921.0
133,1280.0,1194.0,980.0,1377.0,925.0
134,1287.0,1196.0,979.0,1387.0,937.0
135,1288.0,1192.0,984.0,1389.0,925.0
136,1285.0,1205.0,984.0,1389.0,928.0
137,1296.0,1209.0,982.0,1382.0,931.0
138,1287.0,1204.0,984.0,1388.0,922.0
139,1293.0,1203.0,983.0,1384.0,937.0
140,1289.0,1200.0,982.0,1380.0,927.0
141,1281.0,1202.0,968.0,1373.0,925.0
142,1284.0,1191.0,971.0,1383.0,924.0
143,1284.0,1204.0,976.0,1376.0,921.0
144,1280.0,1187.0,986.0,1376.0,930.0
145,1285.0,1198.0,979.0,1379.0,930.0
146,1285.0,1197.0,973.0,1383.0,929.0
147,1294.0,1198.0,974.0,1378.0,927.0
148,1287.0,1198.0,990.0,1393.0,922.0
149,1287.0,1196.0,978.0,1377.0,938.0
150,1289.0,1206.0,979.0,1393.0,935.0
151,1292.0,1184.0,981.0,1381.0,939.0
152,1293.0,1192.0,974.0,1387.0,926.0
153,1281.0,1200.0,974.0,1376.0,922.0
154,1284.0,1195.0,973.0,1378.0,919.0
155,1280.0,1195.0,968.0,1385.0,917.0
156,1274.0,1198.0,966.0,1389.0,926.0
157,1276.0,1194.0,969.0,1375.0,920.0
158,1280.0,1192.0,974.0,1373.0,925.0
159,1291.0,1189.0,972.0,1380.0,931.0
160,1288.0,1192.0,974.0,1376.0,922.0
161,1282.0,1195.0,973.0,1381.0,919.0
162,1276.0,1190.0,968.0,1377.0,924.0
163,1279.0,1190.0,966.0,1376.0,920.0
164,1273.0,1190.0,966.0,1374.0,922.0
165,1285.0,1195.0,969.0,1372.0,916.0
166,1280.0,1191.0,975.0,1374.0,919.0
167,1282.0,1188.0,977.0,1377.0,917.0
168,1282.0,1192.0,968.0,1383.0,917.0
169,1279.0,1186.0,973.0,1382.0,919.0
170,1279.0,1189.0,968.0,1379.0,918.0
171,1281.0,1194.0,974.0,1373.0,922.0
172,1283.0,1192.0,970.0,1384.0,917.0
173,1290.0,1197.0,975.0,1380.0,922.0
174,1282.0,1194.0,966.0,1389.0,918.0
175,1280.0,1193.0,971.0,1376.0,920.0
176,1282.0,1196.0,969.0,1374.0,919.0
177,1280.0,1184.0,971.0,1376.0,925.0
178,1279.0,1188.0,967.0,1368.0,909.0
179,1291.0,1191.0,969.0,1371.0,921.0
180,1280.0,1201.0,969.0,1377.0,926.0
181,1285.0,1190.0,970.0,1389.0,924.0
182,1278.0,1193.0,976.0,1384.0,925.0
183,1277.0,1198.0,972.0,1381.0,919.0
184,1282.0,1196.0,980.0,1376.0,918.0
185,1287.0,1196.0,966.0,1390.0,922.0
186,1280.0,1189.0,964.0,1385.0,911.0
187,1278.0,1187.0,967.0,1375.0,915.0
188,1269.0,1187.0,964.0,1374.0,919.0
189,1271.0,1182.0,976.0,1370.0,911.0
190,1270.0,1191.0,970.0,1377.0,915.0
191,1274.0,1187.0,971.0,1376.0,916.0
192,1287.0,1190.0,974.0,1371.0,923.0
193,1289.0,1197.0,978.0,1379.0,922.0
194,1278.0,1188.0,970.0,1374.0,925.0
195,1278.0,1185.0,975.0,1378.0,918.0
196,1282.0,1187.0,972.0,1376.0,925.0
197,1278.0,1195.0,970.0,1380.0,918.0
198,1286.0,1189.0,974.0,1376.0,917.0
199,1278.0,1194.0,964.0,1384.0,922.0
200,1290.0,1194.0,968.0,1375.0,914.0
201,1287.0,1202.0,968.0,1384.0,925.0
202,1289.0,1193.0,972.0,1379.0,922.0
203,1282.0,1188.0,978.0,1371.0,915.0
204,1279.0,1187.0,969.0,1382.0,916.0
205,1279.0,1190.0,971.0,1378.0,925.0
206,1276.0,1190.0,965.0,1373.0,909.0
207,1282.0,1192.0,962.0,1370.0,915.0
208,1274.0,1187.0,971.0,1375.0,911.0
209,1280.0,1186.0,965.0,1370.0,914.0
210,1275.0,1186.0,968.0,1374.0,912.0
211,1274.0,1180.0,970.0,1371.0,917.0
212,1286.0,1188.0,961.0,1373.0,915.0
213,1275.0,1191.0,975.0,1373.0,916.0
214,1278.0,1189.0,962.0,1374.0,922.0
215,1279.0,1192.0,966.0,1383.0,918.0
216,1279.0,1190.0,968.0,1376.0,922.0
217,1275.0,1181.0,969.0,1369.0,920.0
218,1275.0,1189.0,965.0,1378.0,913.0
219,1273.0,1183.0,965.0,1373.0,917.0
220,1277.0,1193.0,970.0,1371.0,917.0
221,1273.0,1190.0,962.0,1371.0,909.0
222,1281.0,1191.0,967.0,1363.0,912.0
223,1282.0,1198.0,968.0,1374.0,919.0
224,1275.0,1188.0,966.0,1371.0,913.0
225,1274.0,1185.0,966.0,1374.0,919.0
226,1276.0,1184.0,965.0,1376.0,911.0
227,1274.0,1185.0,972.0,1372.0,919.0
228,1277.0,1190.0,964.0,1383.0,913.0
