,time,Qwind,Windir,Fraser,Maxwind,Count
0,2015-01-03,25.22833,0.81103647,175754325.30784056,16.43868,72
1,2015-01-04,10.867757,-1.1961905,176915054.55647466,8.142045,106
2,2015-01-05,257.00613,2.7693355,177936528.4083106,19.114096,100
3,2015-01-06,79.77989,1.2029531,171956487.3417993,17.048597,69
4,2015-01-07,76.247986,1.9788905,170175732.12165898,18.63032,160
5,2015-01-08,11.554534,-1.7197883,169011791.56922606,9.722979,112
6,2015-01-09,25.390587,-1.7529749,169449628.40836295,13.830242,86
7,2015-01-10,18.322332,-3.0215926,173486708.507417,13.543109,139
8,2015-01-11,7.4163785,-0.6588096,176342028.8085022,7.9762964,187
9,2015-01-12,4.6867943,-2.8064346,176921372.44764403,8.465955,131
10,2015-01-13,6.4870434,-1.7610314,181939191.70795533,8.406841,54
11,2015-01-14,6.925899,-2.4161153,181697139.68411857,8.881823,41
12,2015-01-15,12.178406,-2.3581734,182845966.1654113,13.153023,21
13,2015-01-16,199.9024,2.4561608,182487574.1898193,16.770607,40
14,2015-01-17,255.94566,1.5304073,179836398.56555417,17.976917,99
15,2015-01-18,75.18276,2.6759512,187833941.24367926,12.131355,165
16,2015-01-19,252.9305,1.5860115,187670985.0286267,20.776989,237
17,2015-01-20,47.97203,0.9006202,180193167.4365089,13.721017,213
18,2015-01-21,6.8094025,-1.350716,176360389.08891723,8.455688,177
19,2015-01-22,20.326471,2.8601508,174023781.61503294,11.058306,116
20,2015-01-23,74.74196,2.4457426,175478676.7632824,12.353036,93
21,2015-01-24,180.7625,2.2796474,203472205.37076047,15.031804,96
22,2015-01-25,76.398895,1.8878528,210629328.9014466,14.375916,98
23,2015-01-26,97.271965,1.898367,201383322.06057498,19.71533,225
24,2015-01-27,35.38568,2.3204331,198485731.2279639,12.503816,209
25,2015-01-28,61.16635,1.8067803,202886439.12402102,11.998448,174
26,2015-01-29,20.03727,-0.56323206,211303179.1170594,9.771408,108
27,2015-01-30,12.266923,-1.4377183,228246489.18360347,9.889239,153
28,2015-01-31,10.020064,-0.5738786,241621307.71465224,10.884794,109
29,2015-02-01,20.445711,-1.1692559,246438455.39301258,12.461619,97
30,2015-02-02,61.634796,2.4757936,236333896.00988168,13.095938,88
31,2015-02-03,68.9571,2.3489275,224485441.58934453,13.028306,29
32,2015-02-04,19.815908,1.575817,214722938.41900274,10.063928,60
33,2015-02-05,8.5875225,-3.0434175,209782504.599148,10.769495,71
34,2015-02-06,237.46971,2.3842,274015299.87985474,16.934004,102
35,2015-02-07,304.16852,1.8483548,300760765.7375609,18.997374,133
36,2015-02-08,183.22472,1.7128329,255993044.0951185,19.537788,260
37,2015-02-09,130.96877,2.0252714,229799852.67985848,13.563318,313
38,2015-02-10,26.157589,-2.6362,223354853.21930054,10.84112,284
39,2015-02-11,9.057716,1.0092816,218783876.4109533,8.451182,359
40,2015-02-12,40.55032,2.439183,214427672.9968908,11.7166395,98
41,2015-02-13,43.12063,2.4867165,217764200.1911352,11.5718975,114
42,2015-02-14,44.80324,2.402907,233239473.19768807,11.199832,168
43,2015-02-15,49.05331,-0.32317019,238104842.79124522,11.081546,254
44,2015-02-16,37.240746,-0.9614556,242990666.99378163,9.3813925,194
45,2015-02-17,32.289726,-1.6335578,248817054.15461415,10.701015,109
46,2015-02-18,22.160423,-1.6964352,256698117.25907975,9.446726,87
47,2015-02-19,21.348392,2.25252,259883695.72204107,11.307813,97
48,2015-02-20,14.967731,1.158671,257705210.05477303,11.383912,133
49,2015-02-21,34.75381,-0.37225586,251390844.33842272,9.529746,144
50,2015-02-22,71.281525,-1.2246356,244716271.56172496,14.176583,163
51,2015-02-23,20.939322,-1.4932663,239328803.30978754,9.942284,189
52,2015-02-24,6.4833975,-0.7872091,234743986.48017687,6.6763573,183
53,2015-02-25,12.949689,-0.1498247,231301556.07152352,11.008724,238
54,2015-02-26,6.6294,-0.504066,227498569.54776123,7.4293876,126
55,2015-02-27,7.7866116,2.85585,223388868.605735,7.9777813,50
56,2015-02-28,83.98242,-1.8922912,219434863.5397375,12.813284,112
57,2015-03-01,112.9248,-1.8665786,215458309.53619626,15.825158,243
58,2015-03-02,9.487316,-0.28020453,211359656.17734736,7.3115253,272
59,2015-03-03,111.816154,-1.1346539,206061179.43666148,15.776552,169
60,2015-03-04,67.63648,-2.3046777,202289049.35374883,12.227791,85
61,2015-03-05,5.243206,-0.19736841,197165623.57557487,6.843818,78
62,2015-03-06,7.6068583,1.1582834,197314146.37627077,9.732657,31
63,2015-03-07,13.383065,-0.64098483,195804048.21760988,12.174185,170
