,b1
0,4667.0
1,4668.0
2,4705.0
3,4747.0
4,4787.0
5,4860.0
6,4908.0
7,4894.0
8,4901.0
9,4948.0
10,4975.0
11,4981.0
12,4993.0
13,5063.0
14,5034.0
15,5016.0
16,5009.0
17,5022.0
18,4959.0
19,4970.0
20,5011.0
21,4963.0
22,4979.0
23,4995.0
24,5019.0
25,4985.0
26,4922.0
27,4924.0
28,4904.0
29,4910.0
30,4934.0
31,4904.0
32,4893.0
33,4914.0
34,4886.0
35,4935.0
36,4910.0
37,4892.0
38,4883.0
39,4896.0
40,4899.0
41,4887.0
42,4889.0
43,4887.0
44,4863.0
45,4878.0
46,4903.0
47,4884.0
48,4899.0
49,4881.0
50,4899.0
51,4866.0
52,4874.0
53,4890.0
54,4873.0
55,4871.0
56,4873.0
57,4908.0
58,4911.0
59,4914.0
60,4932.0
61,4914.0
62,4926.0
63,4922.0
64,4863.0
65,4863.0
66,4858.0
67,4857.0
68,4839.0
69,4831.0
70,4818.0
71,4853.0
72,4856.0
73,4880.0
74,4864.0
75,4899.0
76,4870.0
77,4875.0
78,4894.0
79,4881.0
80,4868.0
81,4882.0
82,4899.0
83,4900.0
84,4912.0
85,4916.0
86,4903.0
87,4900.0
88,4851.0
89,4864.0
90,4847.0
91,4842.0
92,4861.0
93,4811.0
94,4833.0
95,4805.0
96,4799.0
97,4818.0
98,4791.0
99,4819.0
100,4792.0
101,4824.0
102,4831.0
103,4827.0
104,4849.0
105,4821.0
106,4827.0
107,4796.0
108,4834.0
109,4838.0
110,4820.0
111,4814.0
112,4808.0
113,4799.0
114,4805.0
115,4822.0
116,4820.0
117,4812.0
118,4790.0
119,4806.0
120,4822.0
121,4801.0
122,4837.0
123,4839.0
124,4813.0
125,4827.0
126,4822.0
127,4818.0
128,4818.0
129,4836.0
130,4831.0
131,4846.0
132,4827.0
133,4863.0
134,4851.0
135,4844.0
136,4861.0
137,4806.0
138,4803.0
139,4797.0
140,4794.0
141,4779.0
142,4802.0
143,4808.0
144,4822.0
145,4801.0
146,4803.0
147,4798.0
148,4813.0
149,4814.0
150,4829.0
151,4816.0
152,4827.0
153,4834.0
154,4832.0
155,4818.0
156,4832.0
157,4808.0
158,4809.0
159,4824.0
160,4784.0
161,4806.0
162,4793.0
163,4782.0
164,4769.0
165,4774.0
166,4755.0
167,4784.0
168,4790.0
169,4779.0
170,4758.0
171,4762.0
172,4782.0
173,4780.0
174,4786.0
175,4782.0
176,4770.0
177,4778.0
178,4795.0
179,4807.0
180,4800.0
181,4800.0
182,4812.0
183,4803.0
184,4765.0
185,4771.0
186,4753.0
187,4752.0
188,4765.0
189,4757.0
190,4749.0
191,4767.0
192,4773.0
193,4763.0
194,4771.0
195,4771.0
196,4766.0
197,4749.0
198,4761.0
199,4750.0
200,4761.0
201,4752.0
202,4772.0
203,4751.0
204,4789.0
205,4771.0
206,4781.0
207,4756.0
208,4744.0
209,4759.0
210,4749.0
211,4732.0
212,4735.0
213,4735.0
214,4720.0
215,4723.0
216,4732.0
217,4748.0
218,4751.0
219,4739.0
220,4721.0
221,4744.0
222,4734.0
223,4746.0
224,4746.0
225,4742.0
226,4743.0
227,4743.0
228,4765.0
229,4748.0
230,4775.0
231,4760.0
232,4754.0
233,4725.0
234,4737.0
235,4715.0
236,4724.0
237,4728.0
238,4721.0
239,4731.0
240,4729.0
241,4712.0
242,4728.0
