,Name,Population,Latitude,Longitude,Unnamed: 0,Latitude closest_river,Longitude closest_river,Closest river,Watershed
0,Abbotsford,153524,49.06303787,-122.2513504,,48.755367279052734,-122.49676513671875,Lakethingo,fraser
2,Burnaby,249125,49.24377441,-122.98169708,,49.27677917480469,-123.1474380493164,FalseCreek,howe
3,Campbell River,35519,50.0231781,-125.24953461,,50.047454833984375,-125.25733947753906,Qunisam,evi_n
6,Colwood,18961,48.42810059,-123.49274445,,48.50566864013672,-123.54796600341797,Goldstream,evi_s
7,Coquitlam,148625,49.28505325,-122.79459381,,49.06599807739258,-122.87809753417969,Serpentine,fraser
8,Courtenay,28420,49.682827,-124.99253082,,49.666603088378906,-124.95465087890625,Puntledge,evi_s
11,Delta,108455,49.09020996,-123.06526947,,49.058448791503906,-122.8989028930664,Colebrook,fraser
21,Langford,46584,48.45505905,-123.49645233,,48.50566864013672,-123.54796600341797,Goldstream,evi_s
22,Langley,28963,49.10356522,-122.65656281,,49.008460998535156,-122.78111267089844,LittleCampbell,fraser
23,Maple Ridge,90990,49.21902847,-122.60452271,,49.008460998535156,-122.78111267089844,LittleCampbell,fraser
25,Mission,41519,49.13438034,-122.29605865,,48.755367279052734,-122.49676513671875,Lakethingo,fraser
26,Nanaimo,99863,49.16437912,-123.93666077,,49.1744499206543,-123.93748474121094,NorNanaimo,evi_s
28,New Westminster,78916,49.21960831,-122.90846252,,49.06599807739258,-122.87809753417969,Serpentine,fraser
29,North Vancouver,58120,49.31999207,-123.07238007,,49.31544494628906,-123.13983154296875,FirstNarrows,howe
30,Parksville,13642,49.31938934,-124.31364441,,49.33173370361328,-124.29580688476562,Englishman,evi_s
32,Pitt Meadows,19146,49.22242355,-122.69080353,,49.008460998535156,-122.78111267089844,LittleCampbell,fraser
33,Port Alberni,18259,49.23467255,-124.8075943,,49.46673583984375,-124.77098846435547,SouthDenman,evi_s
34,Port Coquitlam,61498,49.27012253,-122.75893402,,49.06599807739258,-122.87809753417969,Serpentine,fraser
35,Port Moody,33535,49.27666473,-122.86423492,,49.06599807739258,-122.87809753417969,Serpentine,fraser
36,Powell River,13943,49.86698914,-124.54838562,,49.872833251953125,-124.56729125976562,Powell,jervis
