,Name,Lat,Lon,Population,Depth
0,Annacis,49.123121,-123.252763,1264029.0,River
1,Midway,47.39605724,-122.3374214,33160.0,11.5
2,Edmonds,47.81414502,-122.3899467,42980.0,21
3,West King,47.66173185,-122.4498202,963450.0,53.5
4,South King,47.60058503,-122.4278881,714050.0,184
5,Lakota WWTP,47.33357774,-122.3827516,101800.0,37.3
6,Anacortes,48.52307544,-122.6093498,17880.0,5
7,Puyallup,47.270994,-122.43389,88750.0,River
8,Saanich peninsula,48.64987519,-123.3662862,41938.0,25
9,Salmon Creek,47.48721015,-122.367628,52490.0,River
10,Powell,49.8573138,-124.5721359,13943.0,30
11,Iona,49.195045,-123.301956,911373.0,70
12,Shelton,47.198359,-122.928725,10430.0,4.4
13,LOTT,47.0635009701, -122.91210703652,114550.0,3
14,Bellingham,48.72386975,-122.5195463,93910.0,13.3
15,Squamish,49.67603481,-123.1822491,23819.0,River
16,White River,47.27656111,-122.4388928,33790.0,River
17,Port Townsend,48.14509172,-122.7829548,10290.0,5
18,Big Gulch Creek,47.91218827,-122.3240847,21590.0,River
19,Macaulay Point,48.40363511,-123.4196531,65545.0,54
20,Sechelt,49.45559319,-123.7625293,10847.0,River
21,Lulu,49.123121,-123.252763,209937.0,River
22,Nooksack river,48.74633288,-122.5725675,32120.0,River
23,Englishman River ,49.331415,-124.295029,13642.0,River
24,Brightwater,47.7776872,-122.4400642,110230.0,182
25,Tacoma,47.27303493,-122.4299315,220800.0,38
26,Lynnwood,47.85100037,-122.3432868,38740.0,30
27,Port Angeles,48.12826,-123.37935,20200.0,15.5
28,Cowichan,48.74349153,-123.5879172,31990.0,River
29,Stillaguamish River,48.167606,-122.40271,21260.0,River
30,Burrard_inlet,49.32154,-123.16549,190410.0,15
31,Campbell,50.059636,-125.260148,35519.0,28
32,Courtnay,49.73333563,-124.8459148,43226.0,72
33,Sooke,48.35249517,-123.7788884,15086.0,30
34,Bremerton,47.54546742,-122.6681611,45220.0,1
35,Chambers,47.19383625,-122.5866103,177310.0,21.8
36,Snohomish river,47.994007,-122.236465,236580.0,River
37,McLoughlin Point,48.40098834,-123.3976111,256700.0,60
38,Bainbridge Island,47.62278,-122.489167,25060.0,13
39,OakHarbor,48.27060999,-122.6477623,24760.0,3.5
40,Five_finger,49.23156203,-123.9142998,99863.0,61.4
41,Gig Harbor,47.32280721,-122.5700975,12540.0,River
42,WestSound,47.55126443,-122.6132104,16400.0,River
43,Kitsap,47.67718936,-122.602822,12180.0,12.5
44,Fraser_Main,49.123121,-123.252763,190405.1,River
45,Fraser_North,49.18082742993098,-123.25595425306129,33600.9,River
46,Skagit_South,48.29637145996094,-122.47689819335938,24045.0,River
47,Skagit_North,48.354217529296875,-122.54619598388672,24045.0,River
