Municipality,Population
Aberdeen,0
Airway Heights,0
Albion,0
Algona,0
Almira,0
Anacortes,0
Arlington,0
Asotin,0
Auburn,0
Bainbridge Island,0
Battle Ground,0
Beaux Arts Village,0
Bellevue,0
Bellingham,0
Benton City,0
Bingen,0
Black Diamond,0
Blaine,0
Bonney Lake,0
Bothell,0
Bremerton,0
Brewster,0
Bridgeport,0
Brier,0
Buckley,0
Bucoda,0
Burien,0
Burlington,0
Camas,0
Carbonado,0
Carnation,0
Cashmere,0
Castle Rock,0
Cathlamet,0
Centralia,0
Chehalis,0
Chelan,0
Cheney,0
Chewelah,0
Clarkston,0
Cle Elum,0
Clyde Hill,0
Colfax,0
College Place,0
Colton,0
Colville,0
Conconully,0
Concrete,0
Connell,0
Cosmopolis,0
Coulee City,0
Coulee Dam,0
Coupeville,0
Covington,0
Creston,0
Cusick,0
Darrington,0
Davenport,0
Dayton,0
Deer Park,0
Des Moines,0
DuPont,0
Duvall,0
East Wenatchee,0
Eatonville,0
Edgewood,0
Edmonds,0
Electric City,0
Ellensburg,0
Elma,0
Elmer City,0
Endicott,0
Entiat,0
Enumclaw,0
Ephrata,0
Everett,0
Everson,0
Fairfield,0
Farmington,0
Federal Way,0
Ferndale,0
Fife,0
Fircrest,0
Forks,0
Friday Harbor,0
Garfield,0
George,0
Gig Harbor,0
Gold Bar,0
Goldendale,0
Grand Coulee,0
Grandview,0
Granger,0
Granite Falls,0
Hamilton,0
Harrah,0
Harrington,0
Hartline,0
Hatton,0
Hoquiam,0
Hunts Point,0
Ilwaco,0
Index,0
lone,0
Issaquah,0
Kahlotus,0
Kalama,0
Kelso,0
Kenmore,0
Kennewick,0
Kent,0
Kettle Falls,0
Kirkland,0
Kittitas,0
Krupp,0
La Center,0
La Conner,0
Lacey,0
LaCrosse,0
Lake Forest Park,0
Lake Stevens,0
Lakewood,0
Lamont,0
Langley,0
Latah,0
Leavenworth,0
Liberty Lake,0
Lind,0
Long Beach,0
Longview,0
Lyman,0
Lynden,0
Lynnwood,0
Mabton,0
Malden,0
Mansfield,0
Maple Valley,0
Marcus,0
Marysville,0
Mattawa,0
McCleary,0
Medical Lake,0
Medina,0
Mercer Island,0
Mesa,0
Metaline,0
Metaline Falls,0
Mill Creek,0
Millwood,0
Milton,0
Monroe,0
Montesano,0
Morton,0
Moses Lake,0
Mossyrock,0
Mount Vernon,0
Mountlake Terrace,0
Moxee,0
Mukilteo,0
Naches,0
Napavine,0
Nespelem,0
Newcastle,0
Newport,0
Nooksack,0
Normandy Park,0
North Bend,0
North Bonneville,0
Northport,0
Oak Harbor,0
Oakesdale,0
Oakville,0
Ocean Shores,0
Odessa,0
Okanogan,0
Olympia,0
Omak,0
Oroville,0
Orting,0
Othello,0
Pacific,0
Palouse,0
Pasco,0
Pateros,0
Pe Ell,0
Pomeroy,0
Port Angeles,0
Port Orchard,0
Port Townsend,0
Poulsbo,0
Prescott,0
Prosser,0
Pullman,0
Puyallup,0
Quincy,0
Rainier,0
Raymond,0
Reardan,0
Redmond,0
Renton,0
Republic,0
Richland,0
Ridgefield,0
Ritzville,0
Riverside,0
Rock Island,0
Rockford,0
Rosalia,0
Roslyn,0
Roy,0
Royal City,0
Ruston,0
Sammamish,0
SeaTac,0
Seattle,0
Sedro-Woolley,0
Selah,0
Sequim,0
Shelton,0
Shoreline,0
Skykomish,0
Snohomish,0
Snoqualmie,0
Soap Lake,0
South Bend,0
South Cle Elum,0
South Prairie,0
Spangle,0
Spokane,0
Spokane Valley,0
Sprague,0
Springdale,0
St. lohn,0
Stanwood,0
Starbuck,0
Steilacoom,0
Stevenson,0
Sultan,0
Sumas,0
Sumner,0
Sunnyside,0
Tacoma,0
Tekoa,0
Tenino,0
Tieton,0
Toledo,0
Tonasket,0
Toppenish,0
Tukwila,0
Tumwater,0
Twisp,0
Union Gap,0
Uniontown,0
University Place,0
Vader,0
Vancouver,0
Waitsburg,0
Walla Walla,0
Wapato,0
Warden,0
Washougal,0
Washtucna,0
Waterville,0
Waverly,0
Wenatchee,0
West Richland,0
Westport,0
White Salmon,0
Wilbur,0
Wilkeson,0
Wilson Creek,0
Winlock,0
Winthrop,0
Woodinville,0
Woodland,0
Woodway,0
Yacolt,0
Yakima,0
Yarrow Point,0
Yelm,0
Zillah,0
