,IN
2012-01-01,73663890193771.56
2012-01-02,73616948832143.4
2012-01-03,73615927963627.73
2012-01-04,73579193173958.25
2012-01-05,73537021100390.56
2012-01-06,73478732605995.5
2012-01-07,73424916204231.12
2012-01-08,73363980452959.95
2012-01-09,73276370234033.78
2012-01-10,73212045247419.03
2012-01-11,73164968506964.48
2012-01-12,73162201628764.7
2012-01-13,73208182134826.81
2012-01-14,73294966752497.33
2012-01-15,73418359463570.64
2012-01-16,73579573702204.28
2012-01-17,73693565367726.3
2012-01-18,73769340543893.1
2012-01-19,73819137440632.7
2012-01-20,73852763006339.05
2012-01-21,73878751363443.62
2012-01-22,73873247753515.31
2012-01-23,73830517629220.69
2012-01-24,73745302990112.06
2012-01-25,73603508392676.58
2012-01-26,73466529121409.53
2012-01-27,73345472955973.64
2012-01-28,73237941726742.47
2012-01-29,73173187082675.11
2012-01-30,73134090366000.3
2012-01-31,73112116213289.55
2012-02-01,73137175746074.77
2012-02-02,73182865319277.77
2012-02-03,73233039804476.27
2012-02-04,73291779245167.89
2012-02-05,73337281961698.1
2012-02-06,73349859890400.56
2012-02-07,73346053342189.39
2012-02-08,73362590522826.55
2012-02-09,73402494965989.53
2012-02-10,73448492305676.05
2012-02-11,73476190912951.97
2012-02-12,73467615526061.53
2012-02-13,73429547570557.34
2012-02-14,73343785540002.7
2012-02-15,73275269299015.1
2012-02-16,73216647315301.56
2012-02-17,73205402544228.47
2012-02-18,73164632877291.2
2012-02-19,73174344552746.72
2012-02-20,73177086376631.05
2012-02-21,73230596411389.08
2012-02-22,73272768990188.22
2012-02-23,73289842262875.67
2012-02-24,73309013476688.75
2012-02-25,73336040611942.03
2012-02-26,73360971689757.25
2012-02-27,73381602237263.16
2012-02-28,73421024932778.81
2012-02-29,73477834414097.92
2012-03-01,73544432870642.42
2012-03-02,73542435602108.92
2012-03-03,73563501647539.69
2012-03-04,73558351783852.94
2012-03-05,73512129920187.17
2012-03-06,73463647476640.72
2012-03-07,73412685109264.28
2012-03-08,73390526037518.95
2012-03-09,73384749263223.22
2012-03-10,73431357187882.42
2012-03-11,73444965660562.0
2012-03-12,73415681325766.23
2012-03-13,73392235596172.28
2012-03-14,73340620563436.95
2012-03-15,73271577267742.55
2012-03-16,73175381511924.62
2012-03-17,73061896279511.42
2012-03-18,72927546964737.05
2012-03-19,72759690464008.05
2012-03-20,72566325258358.78
2012-03-21,72396569273751.58
2012-03-22,72258334917937.84
2012-03-23,72171651951801.61
2012-03-24,72084358960057.75
2012-03-25,71989963054938.31
2012-03-26,71891092642508.9
2012-03-27,71826873488201.75
2012-03-28,71784368718046.75
2012-03-29,71737875346144.55
2012-03-30,71701409739388.7
2012-03-31,71649032256723.36
2012-04-01,71607157062714.17
2012-04-02,71440009499195.22
2012-04-03,71337015471089.73
2012-04-04,71248049807736.31
2012-04-05,71072337423357.06
2012-04-06,70877834692936.81
2012-04-07,70657532051533.3
2012-04-08,70391486474249.8
2012-04-09,70189175200661.3
2012-04-10,70052588329239.34
2012-04-11,69990230401475.945
2012-04-12,69971920272324.22
2012-04-13,69821560201051.76
2012-04-14,69626427025140.36
2012-04-15,69404609414473.914
2012-04-16,69195745092328.92
2012-04-17,69068668012224.21
2012-04-18,69023953210087.4
2012-04-19,68937258395411.0
2012-04-20,68931291477288.91
2012-04-21,68820414183279.836
2012-04-22,68758103184133.73
2012-04-23,68651137912407.375
2012-04-24,68563428689334.766
2012-04-25,68543188709419.695
2012-04-26,68595318262544.71
2012-04-27,68582847295541.555
2012-04-28,68557382276619.38
2012-04-29,68582984320180.195
2012-04-30,68583180944355.24
2012-05-01,68600168980553.38
2012-05-02,68577342165895.266
2012-05-03,68505829987632.484
2012-05-04,68447107657582.38
2012-05-05,68370298561155.13
2012-05-06,68277793261117.53
2012-05-07,68197205202036.07
2012-05-08,68142921538320.34
2012-05-09,68100670175857.336
2012-05-10,68019295745985.65
2012-05-11,67906760045353.55
2012-05-12,67786411641701.43
2012-05-13,67661760383170.66
2012-05-14,67559012318594.31
2012-05-15,67453073199956.8
2012-05-16,67339397051572.5
2012-05-17,67204732929243.56
2012-05-18,67057904200152.53
2012-05-19,66935010807468.836
2012-05-20,66831654697538.63
2012-05-21,67014425736565.83
2012-05-22,67226244786758.26
2012-05-23,67371861947072.66
2012-05-24,67481080072071.625
2012-05-25,67513048797174.56
