,IN,Phy,ON,HBac,Zoo
2023-01-01,"<xarray.DataArray ()> Size: 8B
array(6.51821323e+13)
Coordinates:
    time_centered  object 8B 2023-01-01 00:30:00
    time_counter   object 8B 2023-01-01 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.57004792e+11)
Coordinates:
    time_centered  object 8B 2023-01-01 00:30:00
    time_counter   object 8B 2023-01-01 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.08241032e+11)
Coordinates:
    time_centered  object 8B 2023-01-01 00:30:00
    time_counter   object 8B 2023-01-01 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.89496931e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-01 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.13430498e+12)
Coordinates:
    time_centered  object 8B 2023-01-01 00:30:00
    time_counter   object 8B 2023-01-01 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-02,"<xarray.DataArray ()> Size: 8B
array(6.52351504e+13)
Coordinates:
    time_centered  object 8B 2023-01-02 00:30:00
    time_counter   object 8B 2023-01-02 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.61119023e+11)
Coordinates:
    time_centered  object 8B 2023-01-02 00:30:00
    time_counter   object 8B 2023-01-02 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.07930382e+11)
Coordinates:
    time_centered  object 8B 2023-01-02 00:30:00
    time_counter   object 8B 2023-01-02 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.87270627e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-02 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.11831799e+12)
Coordinates:
    time_centered  object 8B 2023-01-02 00:30:00
    time_counter   object 8B 2023-01-02 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-03,"<xarray.DataArray ()> Size: 8B
array(6.52285081e+13)
Coordinates:
    time_centered  object 8B 2023-01-03 00:30:00
    time_counter   object 8B 2023-01-03 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.66521851e+11)
Coordinates:
    time_centered  object 8B 2023-01-03 00:30:00
    time_counter   object 8B 2023-01-03 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.06930933e+11)
Coordinates:
    time_centered  object 8B 2023-01-03 00:30:00
    time_counter   object 8B 2023-01-03 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.84641574e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-03 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.10070108e+12)
Coordinates:
    time_centered  object 8B 2023-01-03 00:30:00
    time_counter   object 8B 2023-01-03 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-04,"<xarray.DataArray ()> Size: 8B
array(6.5242584e+13)
Coordinates:
    time_centered  object 8B 2023-01-04 00:30:00
    time_counter   object 8B 2023-01-04 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.70068056e+11)
Coordinates:
    time_centered  object 8B 2023-01-04 00:30:00
    time_counter   object 8B 2023-01-04 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.06385631e+11)
Coordinates:
    time_centered  object 8B 2023-01-04 00:30:00
    time_counter   object 8B 2023-01-04 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.82530705e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-04 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.08688312e+12)
Coordinates:
    time_centered  object 8B 2023-01-04 00:30:00
    time_counter   object 8B 2023-01-04 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-05,"<xarray.DataArray ()> Size: 8B
array(6.52396451e+13)
Coordinates:
    time_centered  object 8B 2023-01-05 00:30:00
    time_counter   object 8B 2023-01-05 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.77768857e+11)
Coordinates:
    time_centered  object 8B 2023-01-05 00:30:00
    time_counter   object 8B 2023-01-05 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.05593224e+11)
Coordinates:
    time_centered  object 8B 2023-01-05 00:30:00
    time_counter   object 8B 2023-01-05 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.80500809e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-05 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.06747168e+12)
Coordinates:
    time_centered  object 8B 2023-01-05 00:30:00
    time_counter   object 8B 2023-01-05 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-06,"<xarray.DataArray ()> Size: 8B
array(6.51015005e+13)
Coordinates:
    time_centered  object 8B 2023-01-06 00:30:00
    time_counter   object 8B 2023-01-06 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.75560413e+11)
Coordinates:
    time_centered  object 8B 2023-01-06 00:30:00
    time_counter   object 8B 2023-01-06 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.04727959e+11)
Coordinates:
    time_centered  object 8B 2023-01-06 00:30:00
    time_counter   object 8B 2023-01-06 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.78483831e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-06 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.06593577e+12)
Coordinates:
    time_centered  object 8B 2023-01-06 00:30:00
    time_counter   object 8B 2023-01-06 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-07,"<xarray.DataArray ()> Size: 8B
array(6.49322334e+13)
Coordinates:
    time_centered  object 8B 2023-01-07 00:30:00
    time_counter   object 8B 2023-01-07 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.72158392e+11)
Coordinates:
    time_centered  object 8B 2023-01-07 00:30:00
    time_counter   object 8B 2023-01-07 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.04708409e+11)
Coordinates:
    time_centered  object 8B 2023-01-07 00:30:00
    time_counter   object 8B 2023-01-07 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.77118603e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-07 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.06679872e+12)
Coordinates:
    time_centered  object 8B 2023-01-07 00:30:00
    time_counter   object 8B 2023-01-07 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-08,"<xarray.DataArray ()> Size: 8B
array(6.4839281e+13)
Coordinates:
    time_centered  object 8B 2023-01-08 00:30:00
    time_counter   object 8B 2023-01-08 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.68011134e+11)
Coordinates:
    time_centered  object 8B 2023-01-08 00:30:00
    time_counter   object 8B 2023-01-08 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.0426111e+11)
Coordinates:
    time_centered  object 8B 2023-01-08 00:30:00
    time_counter   object 8B 2023-01-08 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.75786806e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-08 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.06865961e+12)
Coordinates:
    time_centered  object 8B 2023-01-08 00:30:00
    time_counter   object 8B 2023-01-08 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-09,"<xarray.DataArray ()> Size: 8B
array(6.48118699e+13)
Coordinates:
    time_centered  object 8B 2023-01-09 00:30:00
    time_counter   object 8B 2023-01-09 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.64298685e+11)
Coordinates:
    time_centered  object 8B 2023-01-09 00:30:00
    time_counter   object 8B 2023-01-09 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.0384032e+11)
Coordinates:
    time_centered  object 8B 2023-01-09 00:30:00
    time_counter   object 8B 2023-01-09 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.74540617e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-09 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.06975007e+12)
Coordinates:
    time_centered  object 8B 2023-01-09 00:30:00
    time_counter   object 8B 2023-01-09 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
2023-01-10,"<xarray.DataArray ()> Size: 8B
array(6.48199959e+13)
Coordinates:
    time_centered  object 8B 2023-01-10 00:30:00
    time_counter   object 8B 2023-01-10 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(2.63511601e+11)
Coordinates:
    time_centered  object 8B 2023-01-10 00:30:00
    time_counter   object 8B 2023-01-10 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(4.03647638e+11)
Coordinates:
    time_centered  object 8B 2023-01-10 00:30:00
    time_counter   object 8B 2023-01-10 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray 'heterotrophic_bacteria' ()> Size: 8B
array(2.73394783e+11)
Coordinates:
    time_centered  object 8B ...
    time_counter   object 8B 2023-01-10 00:30:00
Attributes:
    standard_name:       mole_concentration_of_heterotrophic_bacteria_express...
    long_name:           Heterotrophic Bacteria Concentration
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)","<xarray.DataArray ()> Size: 8B
array(1.0681288e+12)
Coordinates:
    time_centered  object 8B 2023-01-10 00:30:00
    time_counter   object 8B 2023-01-10 00:30:00
Attributes:
    units:               mmol m-3
    online_operation:    average
    interval_operation:  40 s
    interval_write:      1 h
    cell_methods:        time: mean (interval: 40 s)"
