,IN,Phy,ON,HBac,Zoo
2023-01-01,65182132256279.17,257004791547.0274,408241031834.7964,289496930752.8925,1134304975763.2822
2023-01-02,65235150405365.59,261119022975.18832,407930382013.94653,287270626520.7423,1118317987123.1523
2023-01-03,65228508128767.55,266521851225.0843,406930932813.73785,284641574280.73016,1100701081255.4104
2023-01-04,65242583953222.67,270068055596.68906,406385631006.81177,282530704622.5897,1086883118437.7415
2023-01-05,65239645117227.69,277768857465.2842,405593224159.8466,280500808934.067,1067471683244.6519
2023-01-06,65101500544529.18,275560412833.6015,404727959404.76105,278483831273.9523,1065935765370.2256
2023-01-07,64932233391648.21,272158392457.68628,404708409389.22205,277118602948.5356,1066798717780.6581
2023-01-08,64839281022701.6,268011133527.31018,404261109536.99115,275786806111.98175,1068659612488.6919
2023-01-09,64811869932706.74,264298684856.1444,403840319906.6928,274540617462.93875,1069750069280.4991
2023-01-10,64819995893839.23,263511601198.43463,403647638012.255,273394782759.4113,1068128801762.4185
2023-01-11,64878696235873.336,271508911258.60645,404117596508.694,272648437313.87387,1052686112328.3629
2023-01-12,64909346551321.86,273497065938.10315,404249571594.2092,271882848029.76474,1046231940905.6378
2023-01-13,64882289763191.3,269283898387.27173,404510592556.1593,271036149904.32852,1052594230591.7909
2023-01-14,64890362453771.4,267372954883.02188,405388049643.7382,270446925547.11444,1054648544225.2905
2023-01-15,64910604338971.15,275523931569.853,405975754298.63477,269840381646.91757,1038598449063.3452
2023-01-16,64913513861862.945,278973217059.3172,405832170037.10767,269113276385.4766,1026001719473.3315
2023-01-17,64915675680933.336,280191955866.9809,405537330845.4547,268440983157.62332,1016981016834.0254
2023-01-18,64898873314750.58,280542451612.5537,404877876909.36633,267685485117.9336,1007789489063.1339
2023-01-19,64807829122389.375,282893303373.3825,403470709458.9132,266332966711.34097,994274376130.3085
2023-01-20,64730142425237.164,294228872333.24,401987492314.2314,265124367210.31454,969824818646.8145
2023-01-21,64624476065052.875,303201547975.80334,399863259848.36646,263513654165.57294,952830598457.2588
2023-01-22,64523088888562.445,296993517543.9876,397392449323.2544,261667113485.77155,953601864089.3977
2023-01-23,64505145581996.36,306478109426.6248,396126000244.73,260462513772.8954,937108009336.8706
2023-01-24,64498071405830.33,310983181873.5773,394839037246.82416,259108595030.55087,929358358162.0631
2023-01-25,64556158959263.69,307543396698.1779,394497462533.1073,258141294485.4271,930665333525.131
2023-01-26,64627965564644.52,316920158923.32385,394631445674.7189,257325843681.929,918019867477.2743
2023-01-27,64692155472298.08,320608810151.9885,394773993674.4757,256295018522.9815,911149135447.7303
2023-01-28,64738973940683.75,331322666263.9103,394977719394.60046,255076881899.5415,896055002669.0154
2023-01-29,64778768127621.88,343423801690.5351,395333195023.47296,253770364277.12527,880585589052.3315
2023-01-30,64800786750406.836,362647198518.90674,396095673369.937,252422456100.95404,860040218858.4072
2023-01-31,64810196341989.01,372410970975.30597,397102967418.5236,250797973739.08334,846131400237.2836
2023-02-01,64820673314789.61,365517203333.8561,398271486589.3838,249072334350.17294,844374181550.93
2023-02-02,64816856221570.35,357500438703.4347,399113105595.67377,247415005609.43607,845274608688.6757
2023-02-03,64762621495600.4,357213599101.4054,399867543997.54706,245858845562.8035,843458991167.3086
2023-02-04,64625187740851.39,350663699271.3629,400729945372.8592,244406247064.04056,849228353015.4874
2023-02-05,64448797860839.68,346181778168.1703,401924874032.3302,243475762538.03748,857698269781.8806
2023-02-06,64379867283366.53,344205613574.9569,402950551971.40295,242977329794.48016,861600800729.9792
2023-02-07,64374793665411.625,343089657034.31274,404323662813.1487,242990512031.6401,866635021503.2539
2023-02-08,64335570892535.57,347333759269.47845,404759749384.5776,242540112865.69916,869287259054.1997
2023-02-09,64373167233672.33,367324418753.84546,406482036082.35645,242909106140.20493,855054423850.2405
2023-02-10,64425079361485.5,377035317964.6582,408085297759.9489,243121776986.9976,852303955051.957
2023-02-11,64510234602718.43,388931999791.9066,410206137100.15106,243433359516.2093,845714925239.25
2023-02-12,64626317701168.25,410228810010.30316,412822492607.6306,243983204215.9847,829879551101.2057
2023-02-13,64771508844520.91,406941295467.902,415858758510.2247,244495177714.39035,831332882869.4136
2023-02-14,64864724740512.48,411703440584.02075,417619665166.1196,244442199233.9267,825073539023.1749
2023-02-15,64916624687519.92,434710012842.32733,419850780263.22473,244493458323.78668,813521277902.8307
2023-02-16,64934341773010.75,455419427249.5375,422449877841.6845,244055657719.43646,800728525220.4968
2023-02-17,64962566389225.484,444598548935.79675,425383457964.81555,243367501476.85403,805358595194.717
2023-02-18,64986540021993.63,449484761260.07764,427125076418.8955,242618104483.00958,800376235497.6136
2023-02-19,65019038183596.23,451633588831.7705,429369632967.3441,241846786510.91522,798842855839.9402
2023-02-20,65091789217134.234,433988645543.50586,432367066385.29974,241439073589.69214,809404244293.2196
2023-02-21,65185157549250.46,411086652204.7036,434460515148.8733,241431949721.06354,824593531176.7268
2023-02-22,65285783421833.38,418800133296.5541,436037473635.8197,241756417547.6953,822188521535.9185
2023-02-23,65395381945960.05,420332342751.4967,439090334855.3119,242947745184.82428,827429344492.4976
2023-02-24,65500120520228.81,434445142280.87665,441177128424.6172,243795344585.434,823028596628.9236
2023-02-25,65569075818968.836,461177250084.74084,444803917734.52264,244640504183.05234,811549812142.4398
2023-02-26,65639116623570.31,456022680730.83057,449555834013.5937,245306304414.1564,816002541429.4675
2023-02-27,65677261947425.95,468479690511.34265,452939125222.8842,245806106137.38666,807986003128.1566
2023-02-28,65719034790456.914,463384002243.2832,457140515982.7772,246394625662.95148,810834688713.8347
2023-03-01,65744360704133.016,465681412596.4237,459919315517.69775,246672839254.89206,808714299722.396
2023-03-02,65745620534037.01,481612440467.58875,464011363716.3707,247135974008.25455,803091876832.7808
2023-03-03,65698551674131.36,499087073008.5278,468137315517.615,247122964904.5964,797310553767.6384
2023-03-04,65638447916939.78,502237391834.31537,474142749474.4569,247521064409.65204,801350656890.7404
2023-03-05,65575339754847.914,485067567151.5699,479029391545.65784,247773352651.77945,814197974788.6655
2023-03-06,65451716200360.88,506176157867.85156,483012012509.1804,248360405990.92343,808552275958.9741
2023-03-07,65227152643812.81,523166189283.318,489390366294.9686,249002547589.09543,809562021021.887
2023-03-08,65017979705572.56,545903753285.5322,497395863447.34283,249930746505.3487,810499405803.0491
2023-03-09,64809247731575.734,584778378047.3058,508263523340.7994,251339674059.98535,808280743370.6426
2023-03-10,64626598841161.42,620400336880.3077,522789749672.5437,253190200190.13156,811688406707.7467
2023-03-11,64538237450788.59,637793256621.9817,540058744542.34814,255524409118.33514,820474581275.7771
2023-03-12,64526696301146.74,652669346524.8263,559827144130.8243,258820884375.43674,830506932955.8611
2023-03-13,64536920279486.664,649416776499.6666,579721789504.0339,262110421659.6817,845006382686.656
2023-03-14,64523197776066.234,664130429694.8616,597365122666.4862,265181160342.98062,850226268501.514
2023-03-15,64515812108619.95,680390194986.5134,616825723898.0686,268474133931.51266,857278871144.0151
2023-03-16,64438552454817.766,738686773619.3132,636878897049.5403,271704916722.23798,854200198477.6638
2023-03-17,64371574939573.4,817212729273.7882,659459609058.3059,274569704275.3991,848271413452.9846
2023-03-18,64256322781406.27,904927755627.3442,686619540237.7014,277237435893.1209,845574010890.5774
2023-03-19,64090784575789.17,1002187413244.2742,719510033930.8325,279835068986.6918,847448293377.353
2023-03-20,63951104211404.53,1052386078841.7183,760570810806.4464,282756741880.8425,863829460016.4325
2023-03-21,63882834724281.164,1018963504614.989,806522932018.1443,286292457882.82214,895073946706.3811
2023-03-22,63742076087843.586,1074760718011.7456,855530354331.5972,290439757470.5178,913631967541.4104
2023-03-23,63566859452967.19,1178941073578.439,914078247395.4468,295535163772.64685,933126513896.8164
2023-03-24,63459605174448.8,1177297638390.8948,982523694491.4866,301482555412.70154,970318551737.7863
2023-03-25,63385505634456.44,1141262071363.455,1053673419484.9187,307927960976.52563,1008810199710.3542
2023-03-26,63235998276095.766,1169684451373.0054,1125467652891.7173,314508377956.2731,1038064695543.3018
2023-03-27,63034038930328.23,1235483901163.4036,1201101233436.1987,321400357105.6853,1066145361149.1599
2023-03-28,62784074735596.62,1326721603700.5945,1281951733284.3594,328080652658.80725,1094246649301.269
2023-03-29,62512318238883.66,1413865684073.284,1369687161060.901,334599249361.7451,1128216176539.5095
2023-03-30,62226982289271.34,1479402573665.6929,1466591865217.2705,341384206137.8399,1170187246214.4622
2023-03-31,61936283545372.32,1512925898215.6575,1569520437774.5686,348043420246.21967,1218631473793.6343
2023-04-01,61751519096907.53,1378998875038.98,1678790763522.7773,354652060709.5535,1278756033022.073
2023-04-02,61475081300819.93,1302643022495.5366,1781592016386.7478,360648124168.91626,1323697542663.7131
2023-04-03,61222709410454.0,1224550586002.8403,1880546166256.0078,366633357566.13403,1363567053565.0728
2023-04-04,61034126389522.055,1199665633022.8416,1975210004637.1257,372818423504.35474,1391918114924.5085
2023-04-05,60841419955641.43,1193132254466.1047,2067701035647.3938,378877725795.75446,1415274756110.3354
