,IN,Phy,ON,Zoo
2023-01-01,73337922985431.25,377361614192.9282,751917396072.0071,775432621298.387
2023-01-02,73344403030732.55,383065316514.4127,744848182531.6129,764091225628.0181
2023-01-03,73356314914358.02,390942846274.5626,737435758755.335,750875034264.6705
2023-01-04,73405340172777.53,397850433436.0119,731502757785.6002,741023986965.296
2023-01-05,73350197756780.3,407407869050.9197,725252339106.7549,730242995519.418
2023-01-06,73232669182795.75,404537249854.3828,720558434433.5646,734164474625.5289
2023-01-07,73121301783463.06,400221448834.26306,716844453603.6948,738214501453.8984
2023-01-08,73075804274004.38,394664177774.69653,713330741065.8132,740888905834.9498
2023-01-09,73055595458643.75,390327017380.8307,710001971683.4727,743472457559.2521
2023-01-10,73056683372368.16,390601127037.9127,707025469572.2261,740316457747.6771
2023-01-11,73069426757144.14,401455261648.23956,704130467586.4586,723430947414.8933
2023-01-12,73032308534275.28,402113927240.416,701955503771.6118,719743100235.7151
2023-01-13,72973612645778.08,395153462500.5247,705808454886.9247,724098307817.1449
2023-01-14,72950697811577.08,393037834415.50977,711076665503.9194,718601167284.6744
2023-01-15,72895021542784.69,403262746899.9394,709786066350.8828,699399456201.7509
2023-01-16,72848176881832.19,404426339264.0709,705540989960.653,691838536647.672
2023-01-17,72849606139511.8,405829955197.03955,702105938115.5002,686642216368.6204
2023-01-18,72813230479240.16,404654612115.4551,697916871752.1268,685729289112.006
2023-01-19,72799865428205.34,410646016014.4124,694548677005.2467,676341535961.7177
2023-01-20,72769163344850.44,425130937590.8595,690118455880.0991,662395644173.2488
2023-01-21,72716750940314.17,433744053967.9065,684553115496.684,655420347654.8672
2023-01-22,72679880287777.89,425936975222.64734,678761124129.9713,659456662530.5659
2023-01-23,72633400073027.28,437155486294.17145,673137390758.1128,649138441264.2268
2023-01-24,72591416167918.28,439052047074.7125,667296429523.4957,646218577871.5131
2023-01-25,72581275218240.39,433170455700.4019,661919831969.7157,647988778503.6888
2023-01-26,72562802423794.31,442756421577.9401,656575856724.2997,637834146217.728
2023-01-27,72554114336127.42,442241577751.35474,651252490184.5645,633208676992.5476
2023-01-28,72546890743238.58,453304993552.76556,646898410198.2316,620692811051.5599
2023-01-29,72548984325369.5,466241208911.53955,643423495930.2146,609587341070.2811
2023-01-30,72541223078298.73,484353004820.3024,640589270844.3806,596991930989.7017
2023-01-31,72539745840338.84,488393517043.3679,638800275907.4885,593465884520.7294
2023-02-01,72540002862755.92,478227885978.2506,637320471775.1718,598308278626.2333
2023-02-02,72510496080792.73,472030898007.2882,636179927626.978,603301775500.7858
2023-02-03,72418761302736.16,469441147504.04816,635457277720.6284,608330067022.809
2023-02-04,72264617856869.38,460497068213.3252,635216283968.5497,619575950024.4496
2023-02-05,72158784789818.36,453373137709.6195,635907181294.7327,629942499041.6251
2023-02-06,72141554679173.39,452015444466.9411,637727345218.3765,634722787753.5988
2023-02-07,72109264740459.78,446761930360.0857,640559857303.4536,644571328025.9907
2023-02-08,72083607024917.56,454636317662.80554,644342961712.98,643145507286.3206
2023-02-09,72097400585772.69,472335386051.24695,646441853849.3474,635698335270.9497
2023-02-10,72106693793605.4,481021762547.6273,647036761272.6627,633894044017.9736
2023-02-11,72173896135032.5,490923838178.8099,648297182314.8333,627870300951.3507
2023-02-12,72246934106913.9,506684892976.8192,649538488085.1646,617718405775.9958
2023-02-13,72366279442858.88,496234887015.1743,650128839909.7377,621020920722.5377
2023-02-14,72457045027241.75,500987263862.76056,650530945936.295,619564847430.2747
2023-02-15,72492393099365.77,524384835971.6576,651719733748.6631,611958391195.1031
2023-02-16,72508692368566.2,536105193604.7285,653586977024.5636,610353156241.7261
2023-02-17,72560625458226.25,521009155054.1223,655978102376.7712,620809344901.6207
2023-02-18,72598109728852.78,529003247432.58765,658762427204.2174,622401424579.8809
2023-02-19,72652162438986.86,528582343862.16986,662121982373.2782,627555829116.7961
2023-02-20,72726855578910.3,502612400794.76544,664738509473.636,643322286120.2123
2023-02-21,72801184063432.11,482685104218.41974,665748113557.7437,654765689563.868
2023-02-22,72870863196702.34,490695308249.895,667959475100.3931,654494549367.0549
2023-02-23,72963629794958.47,486342636449.85315,668366673580.0236,658664706196.6147
2023-02-24,73029952910759.81,504120807738.8501,668143413746.5651,651240402241.2714
2023-02-25,73061750888349.12,522412942579.4568,669226733811.5405,643719414640.8585
2023-02-26,73109294969143.19,509330483497.296,669855944892.6025,648595874328.141
2023-02-27,73130847009991.16,521040545897.4331,672466129271.7961,643287092571.4829
2023-02-28,73158231662980.0,510556552800.89545,674503703822.9417,648435614758.0916
2023-03-01,73179907935603.95,520135510776.1773,678212232310.6797,646774860053.3284
2023-03-02,73154337138937.05,528739287384.2302,682629430134.039,648099474572.9303
2023-03-03,73097170649335.84,545789316725.28937,688881664954.1503,648529982533.3718
2023-03-04,73035479522827.72,542241849675.07776,695387277938.6232,657962412442.41
2023-03-05,72963942930422.97,530574839659.2124,700152437496.2695,669596615739.9336
2023-03-06,72809328401063.4,554089450762.7812,705734258436.1906,667830428514.245
2023-03-07,72624041016876.73,569989875690.0237,712407087662.0607,672015190616.5283
2023-03-08,72434274726455.47,595009119883.4578,721180808887.8756,674186039823.0774
2023-03-09,72233015702410.95,630573614489.488,732744889580.4644,675605893673.0874
2023-03-10,72057188844823.78,654458761492.612,746403740710.4324,682250629686.2222
2023-03-11,71985927237234.62,664582806066.2435,763086301699.445,691875149001.4377
2023-03-12,71956189761294.84,664309676173.6469,779938271343.7645,703520957553.9506
2023-03-13,71927975386240.4,644765460371.2643,794994924350.2764,718089622438.4491
2023-03-14,71910242244298.78,660042791922.7765,810791231608.4164,721579598040.2131
2023-03-15,71889326225568.38,670399393365.6205,826621250310.0331,728146630105.7819
2023-03-16,71904528903889.36,723274474599.816,845380410539.1243,725315331662.4529
2023-03-17,71882399224047.45,791052491125.8516,867781964326.7133,724213472858.699
2023-03-18,71812888543741.17,865549061743.0415,895300410513.3506,729032438258.037
2023-03-19,71669964398393.9,964958301278.6484,928937337694.9216,736961428522.6204
2023-03-20,71569088587525.66,992588832000.8339,968093549305.1891,759971505023.7103
2023-03-21,71506501856790.4,981585183938.002,1009215082631.8601,787493788909.7019
2023-03-22,71345445080979.67,1066857512154.3069,1053850473324.3977,804120784233.3606
2023-03-23,71165686151072.14,1150838753070.4937,1106637386186.6995,828163728581.606
2023-03-24,71097787109301.8,1105201597214.6685,1163319513512.9282,867204911458.7751
2023-03-25,71032303714296.06,1071156883401.3483,1219448632486.791,900807213210.6676
2023-03-26,70899414293436.58,1099924114387.2178,1276740206433.0842,927538560188.8502
2023-03-27,70732115030504.22,1150990548544.4194,1338222764766.3408,954889488848.5156
2023-03-28,70507576139907.08,1230344612825.6484,1405331428838.828,984185903096.148
2023-03-29,70257277539841.06,1300376721928.3948,1482306091705.5251,1022258235918.3877
2023-03-30,69981453296211.76,1352343203771.2805,1568685188694.5166,1068700223081.8817
2023-03-31,69693098244861.19,1357285953933.5784,1664111021359.3105,1123494434165.1833
2023-04-01,69533558261671.734,1197588701916.3254,1759740282021.9192,1183729566028.005
2023-04-02,69307004525659.016,1132192884534.911,1849929867449.8584,1226398279386.6558
2023-04-03,69179792001556.65,1054158219038.806,1929952707374.4775,1258109772007.166
2023-04-04,69072189746562.92,1020960045399.8488,1998568367422.7776,1276021871803.5427
2023-04-05,68933850107233.27,1013138001029.5049,2060555698293.0127,1289242895837.7896
2023-04-06,68753059810116.18,943478606899.3234,2113872670067.984,1306061397520.7036
2023-04-07,68551983231603.99,797263332297.1052,2151867891538.4824,1325553191604.004
2023-04-08,68275122404277.305,756489174098.1705,2176693252879.9473,1323025791295.4458
2023-04-09,68111234802409.46,656048558715.5076,2181984080907.5857,1340199042525.0928
2023-04-10,68032812414007.836,596604113991.214,2164793891770.355,1343696738660.6555
2023-04-11,68043428034066.875,578228581177.531,2125494725992.8118,1331348172610.129
2023-04-12,68174882868858.375,587668003947.5541,2077959710523.9824,1315458647123.3838
2023-04-13,68299795720138.45,622845372142.3218,2030976476934.5964,1292245573850.2683
2023-04-14,68408887276056.27,633936727978.124,1987361043777.052,1282341730971.2893
2023-04-15,68404628344935.16,684141009493.4248,1953999784234.885,1261742909689.6711
2023-04-16,68439788880521.75,640730784432.7908,1924973778099.337,1286232043297.9072
2023-04-17,68413895902662.7,612323146394.5087,1896541102656.0825,1304318023400.105
2023-04-18,68355191054476.91,597401968036.3468,1866249467935.0244,1321981017497.9038
2023-04-19,68335096121033.48,595032702652.2228,1837269920659.9917,1335344761279.8047
2023-04-20,68298790198639.56,600375067407.0597,1809777907123.251,1346220536891.2002
2023-04-21,68301404733610.055,565113029122.3562,1780106082941.9443,1386906897286.603
2023-04-22,68398777219963.37,555422217251.6848,1749983882162.8882,1396406338607.9736
2023-04-23,68541089114351.414,532260156214.51306,1716957327349.8528,1414749666208.0503
2023-04-24,68685422761371.09,516898226840.1156,1686762596053.501,1428191400332.5698
2023-04-25,68768368131708.49,560969979023.4531,1662315218695.704,1398256304235.5505
2023-04-26,68805306105462.4,619180412198.5216,1647037279211.7446,1363303865404.6387
2023-04-27,68852240711843.79,662064862268.1478,1640518051590.8713,1341558255283.7825
2023-04-28,68794645658075.484,776915532059.9287,1646701445793.2832,1294083686716.8718
2023-04-29,68641381863869.516,926921414761.1622,1670235895888.89,1253651596408.844
2023-04-30,68420318051789.37,1076062183686.5394,1712906497418.4458,1233876924699.6848
2023-05-01,68324436850486.08,1098157696846.6846,1764309246853.949,1253808302296.1567
2023-05-02,68243544548036.53,1139163577559.325,1815862676165.3848,1275044704857.978
2023-05-03,68094349606820.09,1212620335973.4978,1874578639895.8706,1298352143750.6396
2023-05-04,67935359440345.07,1247235123749.271,1942870676849.2175,1334788676239.0068
2023-05-05,67834460996155.266,1190639812328.2522,2015972870540.1067,1390330509181.4802
2023-05-06,67885629535575.54,1003687793505.816,2076301093030.6855,1463981663167.5737
2023-05-07,67805509695008.445,962233198530.1106,2122932432168.4026,1501119551324.9263
2023-05-08,67676022730776.92,962934943159.4287,2165880928363.139,1525268412083.652
2023-05-09,67585565056120.67,948579302992.1788,2205489926378.8647,1549158333743.3892
2023-05-10,67477585334345.25,963340967037.1431,2241608406440.3364,1561469856964.332
2023-05-11,67365808564376.086,981876660107.582,2275602201380.1753,1569786771484.3389
2023-05-12,67269430219536.2,999315913434.6804,2307062694281.8545,1575603457411.8164
2023-05-13,67179580161513.664,1017159297498.1531,2337970976900.629,1580757879953.063
2023-05-14,67087978579093.0,1036156325252.6738,2368451715349.906,1584965080712.2607
2023-05-15,66978300162253.06,1056890726978.9446,2400681772446.7964,1589805410247.9045
2023-05-16,66864221117580.484,1066059736533.5197,2433063405122.7744,1600417149162.414
2023-05-17,66737050026957.4,1074063595462.4937,2467577578434.255,1613887816285.2397
2023-05-18,66604400145518.73,1080754492337.2163,2503715419872.173,1629811849046.0908
