,Z2,Z1,Z1_Hbac
2023-01-01,55388.91162106379,31025.425661105564,71599.29561330374
2023-01-02,57562.89600772584,35600.59054634507,69634.31846635323
2023-01-03,61746.89402791546,40841.164020732984,67768.21648221438
2023-01-04,64832.208487450705,44590.30117224191,66134.64371604164
2023-01-05,70890.68505809434,49063.76714407401,64511.932701991806
2023-01-06,67512.39198939521,46196.83130764723,63002.67498282853
2023-01-07,62726.35646758627,42598.089834564395,61603.05067215646
2023-01-08,56317.75448022913,38516.21367357977,60252.716817420434
2023-01-09,51046.06845734561,35796.72910509386,58926.07260027854
2023-01-10,49484.39212284669,36040.20957251097,57656.19772649493
2023-01-11,54902.797826150105,41961.93587457131,56639.824610273114
2023-01-12,53694.831540596904,43124.95943512635,55644.72519024365
2023-01-13,47234.474935600214,39302.662368094054,54625.36279094723
2023-01-14,44438.64069285543,38747.6416563523,53682.451850302146
2023-01-15,51457.32383870396,45306.584679580534,52844.28193647283
2023-01-16,51598.87942023984,47148.288569990465,52051.146843480354
2023-01-17,53921.07929282079,49277.89473862167,51339.40341549012
2023-01-18,53959.71448812557,49623.70159410694,50515.49205059945
2023-01-19,56166.17196345334,51523.815447170186,49635.30685216869
2023-01-20,69055.4811987445,58449.9252613059,48780.89200262401
2023-01-21,78991.38284949181,63680.857080086476,47916.55503991383
2023-01-22,71534.57917890779,58884.95737836542,46969.397520100385
2023-01-23,83648.81125825498,65308.25167181241,46159.656855134075
2023-01-24,87243.18823969456,67986.19394690439,45395.77411870714
2023-01-25,83702.66348891403,66930.34299390488,44733.49760822504
2023-01-26,96812.40030171571,75724.00680093543,44189.53661836759
2023-01-27,101750.25876823398,80544.61217593715,43692.38791455753
2023-01-28,118370.98442677525,94082.18560465475,43346.43620947245
2023-01-29,136980.3397959933,110566.19844160043,43035.011252906625
2023-01-30,162048.39885819497,135885.16086072088,42912.735806992445
2023-01-31,170202.3135673123,149866.8803825766,43000.27685551317
2023-02-01,159546.87301052167,144732.44413394338,43064.55994884396
2023-02-02,152223.82898184346,138031.36476780428,43013.84892716731
2023-02-03,148263.81361983446,136585.73707001354,42900.866831089326
2023-02-04,134752.05019773103,121813.06911829795,42620.107374370586
2023-02-05,123748.11676428188,110957.4416311551,42378.7292813877
2023-02-06,116538.1586217438,105474.16863016697,42326.600420971314
2023-02-07,107726.07990043981,97185.08079842234,42151.372786660286
2023-02-08,112904.73314193245,97198.28652481534,42000.52620655361
2023-02-09,133438.5276832408,111267.19605020316,42238.41839739365
2023-02-10,145914.9800406904,118453.9524430526,42524.32556210686
2023-02-11,163597.35302805968,131924.01501579804,43081.34704435845
2023-02-12,192284.65229910586,158678.21555303063,43985.539888376305
2023-02-13,188213.98483911253,156512.07298407605,44795.71296680489
2023-02-14,200403.75560399346,164408.8856085237,45433.79668724344
2023-02-15,237839.92296582722,199405.1692769239,46567.331387709295
2023-02-16,262928.01455408946,225532.00957600062,48068.04473873186
2023-02-17,252123.2885768352,215695.91719649208,49464.258309249504
