,Z2,Z1
2023-01-01,26134.669642341996,28047.493428331065
2023-01-02,38068.003271192756,30737.90471681158
2023-01-03,52334.42775166424,33988.07076216841
2023-01-04,60479.89540387334,36308.623233158025
2023-01-05,73707.33811211491,39558.40824848702
2023-01-06,63037.67851909637,37477.42123068812
2023-01-07,51977.543725872296,35673.48076195213
2023-01-08,39574.16615072405,33676.273061699074
2023-01-09,31461.414924119556,32556.88621171766
2023-01-10,31194.000995196107,32856.62460775897
2023-01-11,46973.71565022909,36104.10030501559
2023-01-12,47012.16793731991,36781.39590930954
2023-01-13,34486.21176468335,34870.82081693064
2023-01-14,31372.27780035334,34814.83427497483
2023-01-15,51343.41020760632,38599.92320524282
2023-01-16,56265.44338817308,39781.019414250724
2023-01-17,63327.24674453937,41682.53962306524
2023-01-18,63037.380631677675,42251.44845834475
2023-01-19,69482.16138516796,43652.72312395576
2023-01-20,96652.65819506942,49613.820671015135
2023-01-21,112191.81670093736,53961.34336490709
2023-01-22,93940.41625705709,49805.95394713332
2023-01-23,114699.41250328327,55775.39544835695
2023-01-24,118111.24822417523,57838.537578788695
2023-01-25,108234.47695444281,56857.11837741716
2023-01-26,128601.0996515056,63877.89950516993
2023-01-27,133316.88736927725,67362.8297409918
2023-01-28,158856.6351778695,77386.47777339746
2023-01-29,185557.11319140295,88930.2049671211
2023-01-30,221852.0214742155,107150.0355623783
2023-01-31,232570.42588448137,118173.64853355855
2023-02-01,215176.83072476467,116285.60646238364
2023-02-02,201653.63440890264,113408.76193466522
2023-02-03,191874.34289416642,113909.29495038689
2023-02-04,167426.4866437386,104706.04928019975
2023-02-05,146198.92686782012,97768.73397091213
2023-02-06,132362.09386339135,94028.49235160793
2023-02-07,116431.63095855521,88426.33821528568
2023-02-08,122255.12443473362,88334.9085386928
2023-02-09,151736.09465534153,98898.73230159348
2023-02-10,169469.84424307037,104592.29996028965
2023-02-11,193056.34113252666,115569.6798420918
2023-02-12,230545.1548800107,136549.39841400806
2023-02-13,221789.95182905992,133269.8399200147
2023-02-14,232247.1454130315,138224.59511427014
2023-02-15,276552.28937611077,168210.4821303397
2023-02-16,305418.6467507479,191314.47109804908
2023-02-17,288093.8614941505,183251.97377531207
2023-02-18,302490.83400384063,200461.31679679977
2023-02-19,301902.3100535365,210507.48499135845
2023-02-20,260910.5808227597,185503.81641268003
2023-02-21,226596.01871228652,161255.72384047415
2023-02-22,234761.35244173819,165777.14891407214
2023-02-23,224468.80585988035,157496.6333311722
2023-02-24,250031.63831575087,182136.47491975565
2023-02-25,281134.74882167083,214381.7481229426
2023-02-26,224445.09092409047,152752.89362842514
2023-02-27,248095.91630591077,179011.3761195347
2023-02-28,238469.41583797263,178543.6056852452
2023-03-01,258236.22896648612,202553.88144223066
2023-03-02,277061.51439269236,224041.4414139847
2023-03-03,305785.23121365573,258373.25861906703
2023-03-04,305412.71192210197,263052.5941535523
2023-03-05,291517.21256543533,245603.53646455565
2023-03-06,327541.5807011998,286279.798282033
2023-03-07,355708.0652608305,316943.02064819547
2023-03-08,396597.23985651415,359914.17071825673
2023-03-09,452631.0816577927,419115.8083938023
2023-03-10,497069.44500084,464904.7875158025
2023-03-11,526481.9317075127,496001.43033096154
2023-03-12,540868.1575593379,520699.97989723075
2023-03-13,530538.6897950433,514785.99491011305
2023-03-14,560859.7495945281,545926.5252110068
2023-03-15,583396.2399003136,571126.9810363011
2023-03-16,656477.0139468564,649936.8613329434
2023-03-17,745401.6859107781,747231.3638143425
2023-03-18,840506.6348440992,857717.905409687
2023-03-19,950433.9535593616,1002011.8919918688
2023-03-20,1000821.2142338769,1108981.144096797
2023-03-21,1024248.1579905476,1191001.4387976523
2023-03-22,1105085.7632804443,1357252.062295897
2023-03-23,1179711.9681177482,1564032.8452956018
2023-03-24,1177693.2322947185,1695447.0095613706
2023-03-25,1184609.8954574235,1804339.2978671985
2023-03-26,1225131.9554532706,1974014.2132678963
2023-03-27,1277839.00722612,2184384.9092616676
2023-03-28,1345535.5008193948,2462427.350561677
2023-03-29,1411882.7131828777,2795248.153616867
2023-03-30,1476011.2651907536,3173498.863494337
2023-03-31,1530544.968097013,3550934.8359698122
2023-04-01,1527358.6285870853,3716046.183033702
2023-04-02,1548742.0335817924,3842916.9450153336
2023-04-03,1561023.8318931225,3844529.128437124
2023-04-04,1591732.3416761234,3836533.8129183184
2023-04-05,1636714.045800507,3820502.2392320773
2023-04-06,1654391.0466806213,3660074.491953453
2023-04-07,1623787.2334132597,3202455.4230923597
2023-04-08,1602506.255621398,2833609.789038357
2023-04-09,1525725.1166381123,2217880.7993160463
2023-04-10,1410426.8407115242,1633716.472004995
2023-04-11,1293413.692679444,1286255.1588941133
2023-04-12,1219999.7613910546,1119644.0567094348
2023-04-13,1212786.2634991575,1089555.7955764337
2023-04-14,1212582.3586713688,1021870.1331641021
2023-04-15,1294584.6173443082,1059148.2207275112
2023-04-16,1244169.4833435423,952488.5978928377
2023-04-17,1192802.5369625676,853021.2852626452
2023-04-18,1150767.6692281752,767464.0416556594
2023-04-19,1135621.7254141641,716615.1584495705
2023-04-20,1147699.7455870025,680855.6710197483
2023-04-21,1087208.833658043,559351.2570459151
2023-04-22,1064419.3590160408,510966.5785659255
2023-04-23,1017896.2341938398,453267.5495511447
2023-04-24,984103.5187079485,420835.6810092194
2023-04-25,1097965.6778180199,503021.51263765607
2023-04-26,1284190.0520914558,610187.6820480102
2023-04-27,1457519.062212861,688316.0217908758
2023-04-28,1788413.208250971,847731.5569744639
2023-04-29,2158578.5569055686,1054789.5380350084
2023-04-30,2461366.922172328,1308463.5996654644
2023-05-01,2572510.0039209463,1521582.0634398316
2023-05-02,2711306.4654503893,1763999.220223408
2023-05-03,2891234.0737025337,2062261.6278048377
2023-05-04,3024554.4894273416,2349377.442552699
2023-05-05,3088302.80630055,2548510.9541040435
2023-05-06,2998815.027006159,2496499.549464939
2023-05-07,3018077.6414924366,2441636.8879195447
2023-05-08,3079157.2689868715,2397752.090945783
2023-05-09,3112022.0896208016,2329948.790022102
2023-05-10,3175709.3082386036,2303729.008959852
2023-05-11,3248721.619381052,2308678.8980170046
2023-05-12,3324746.780975119,2335004.098116266
2023-05-13,3405485.186631169,2382045.865172748
2023-05-14,3494276.7176743774,2444988.1304721264
2023-05-15,3583904.2508153403,2511172.156192401
2023-05-16,3660616.0564889936,2573210.853603688
2023-05-17,3735180.647298252,2634170.3907731134
2023-05-18,3807942.683099553,2685194.63688893
2023-05-19,3866153.9118683375,2721079.536790387
2023-05-20,3917612.6624400476,2747112.5381282805
2023-05-21,3932212.3741478925,2732903.73423706
2023-05-22,3879840.224603709,2635947.9603688973
2023-05-23,3825381.9293872267,2510534.04277159
2023-05-24,3801326.4181192503,2424247.1914611743
2023-05-25,3860153.3223733744,2413061.0039918944
2023-05-26,3940201.7373445965,2441513.9219247405
2023-05-27,3987321.737100626,2482703.693582366
2023-05-28,4040494.7672848757,2537428.779795501
2023-05-29,4094523.6849142006,2612406.861499237
2023-05-30,4118700.9127211464,2678927.4568896242
2023-05-31,4142620.84371546,2759388.5179513856
2023-06-01,4148200.504145515,2841429.937750479
2023-06-02,4149348.0196632277,2910301.971200859
2023-06-03,4117499.4448992796,2934464.316445577
2023-06-04,4087614.5414114306,2921250.7704916275
2023-06-05,4071873.3897911883,2891330.1515522273
2023-06-06,4073772.7441343344,2881393.773714264
2023-06-07,4093015.163033405,2888489.680185054
2023-06-08,4121252.0348569388,2930618.270800056
2023-06-09,4104956.168781304,2960264.010769834
2023-06-10,3842266.5869617243,2724251.9348395895
2023-06-11,3592129.570999391,2431703.111562329
2023-06-12,3557694.737880653,2336836.029421217
2023-06-13,3553046.6916185203,2295937.88159498
2023-06-14,3485364.2090869127,2220326.009646993
2023-06-15,3511273.241566656,2230738.188597476
2023-06-16,3503541.7739558383,2228457.0128017818
2023-06-17,3391382.424121085,2128937.1458177683
2023-06-18,3380350.8582182075,2100166.5877994215
2023-06-19,3367575.5130877127,2089161.4176188633
2023-06-20,3232625.167833477,1994147.5807568515
2023-06-21,3212435.3640631153,1967924.138845077
2023-06-22,,
2023-06-23,3303045.462792865,2079123.8739858759
2023-06-24,3348285.2182237436,2162838.5120984954
2023-06-25,3422818.415010965,2260251.1104128365
2023-06-26,3502171.167966817,2367061.8628127226
2023-06-27,3554377.2434583204,2464238.9548914703
2023-06-28,3589282.6771513666,2550864.74346592
2023-06-29,3619188.2071583243,2640392.0925477934
2023-06-30,3631639.9094682247,2703451.732932064
2023-07-01,3638124.657524038,2752667.0195333525
2023-07-02,3646294.8321707975,2779628.144895036
2023-07-03,3665570.5097357295,2802478.8671750333
2023-07-04,3693620.571653658,2828348.3739165827
2023-07-05,3715471.0454941173,2853783.8626667517
2023-07-06,3747152.5454626563,2881047.428283487
2023-07-07,3772801.6515966067,2904360.7931448077
2023-07-08,3785604.11777841,2919719.6249232516
2023-07-09,3799633.9379419736,2952116.506181349
2023-07-10,3810001.1617579716,2996675.8710116353
2023-07-11,3821734.6842910037,3022848.739890802
2023-07-12,3834829.233228439,3051962.1599806407
2023-07-13,3837232.277173639,3068194.008660133
2023-07-14,3839536.1591345407,3091985.567194864
2023-07-15,3824450.6304238625,3096231.1281281756
2023-07-16,3775150.1189707145,3055299.1765528545
2023-07-17,3719896.4896712666,2987577.0568415085
2023-07-18,3658956.508393552,2916170.5783136897
2023-07-19,3609064.523610321,2861712.9770906223
2023-07-20,3575544.7692437605,2817732.0130691496
2023-07-21,3535636.987720334,2762004.9919349505
2023-07-22,3491592.079219817,2707227.8342417334
2023-07-23,3463708.0849148864,2654534.4031712385
2023-07-24,3387341.0253816154,2558451.293310875
2023-07-25,3150267.6091161086,2310037.054827885
2023-07-26,3033449.6433927836,2156306.325691224
2023-07-27,3018313.657134943,2100188.7809467483
2023-07-28,3011392.850797699,2064523.1770194257
2023-07-29,2981912.6799400025,2030287.537727702
2023-07-30,2950989.3362384196,1996134.2062166305
2023-07-31,2922329.226971298,1958867.56399814
2023-08-01,2883150.4423423437,1918784.5602334668
2023-08-02,2819116.4177453686,1867233.1497913264
2023-08-03,2737607.8124537,1804410.871067489
2023-08-04,2681820.4019405562,1760983.0029206988
2023-08-05,2631278.108030414,1723308.9772340218
2023-08-06,2525360.561780595,1649226.8983088932
2023-08-07,2424359.53618812,1579184.2369447472
2023-08-08,2359863.5732961316,1535201.3793595512
2023-08-09,2200124.36131553,1431086.7084013154
2023-08-10,2116221.205368772,1371721.7875516375
2023-08-11,2100920.160581969,1359083.7666229336
2023-08-12,2089263.8750566843,1345088.0003310468
2023-08-13,2084664.393795533,1332002.9791229386
2023-08-14,2075998.5389996055,1310533.131546993
2023-08-15,2077021.5962710527,1293263.6802526796
2023-08-16,2091195.161105013,1292595.5883537424
2023-08-17,2108662.7424354083,1305651.0511174656
2023-08-18,2123572.3347990676,1317372.906223635
2023-08-19,2148915.846692714,1337240.0376378824
2023-08-20,2214877.9088858766,1374373.1413964257
2023-08-21,2288647.6075914,1416831.2403878677
2023-08-22,2397209.816905814,1482786.6939671605
2023-08-23,2515482.9299061783,1546289.35841961
2023-08-24,2638002.0053038145,1614302.2467401773
2023-08-25,2772953.91196968,1684415.256472715
2023-08-26,2800757.094363508,1677186.6443494502
2023-08-27,2882941.7466372596,1729436.3418082306
2023-08-28,2926648.3402026086,1766589.242322796
2023-08-29,2863850.606234916,1720027.018199481
2023-08-30,2692363.5113052856,1575176.8698923648
2023-08-31,2584544.4242772125,1479623.0306781773
2023-09-01,2456372.116973152,1357476.424583368
2023-09-02,2405260.9956289795,1314013.8818089021
2023-09-03,2362163.4433916323,1291962.9467862996
2023-09-04,2275504.076469817,1236508.0586571088
2023-09-05,2216235.366803115,1214626.4518758652
2023-09-06,2188536.986274887,1223565.444168858
2023-09-07,2162891.609039416,1236526.378989149
2023-09-08,2149763.127935751,1252131.5022165535
2023-09-09,2160901.0423004637,1283198.640255685
2023-09-10,2179334.437279924,1314645.2194266256
2023-09-11,2101583.748984458,1269437.3699054546
2023-09-12,1976322.6417370397,1175280.4614334132
