,Phy,HBac
2023-01-01,178465.1836517363,626596.7761551955
2023-01-02,206884.9054222178,621881.3495154629
2023-01-03,195207.14614982234,617348.5124374456
2023-01-04,251251.30032237363,613733.3359093213
2023-01-05,151508.19169828604,609827.3373014551
2023-01-06,111634.68349585032,606393.1527708523
2023-01-07,100703.4595958062,603142.5803724885
2023-01-08,94482.48059945826,600088.054946788
2023-01-09,123511.63474148595,596974.6840197853
2023-01-10,218465.75640667032,593999.0722259494
2023-01-11,172929.8556495823,591608.0012735998
2023-01-12,99873.99836514945,588652.2940380471
2023-01-13,107290.8599082429,585976.6591170073
2023-01-14,220798.22053068725,583953.791071243
2023-01-15,205025.98029462784,581629.9107876563
2023-01-16,173473.52573011903,578993.5754771639
2023-01-17,174925.93851824306,576871.0053535427
2023-01-18,199170.09080934705,574070.56386299
2023-01-19,310428.4019297323,571408.2041015828
2023-01-20,313604.7909662195,568383.8195889434
2023-01-21,167813.1167234045,564549.8832749547
2023-01-22,305680.23052581714,560104.1486962548
2023-01-23,287794.7791691284,556211.6963674246
2023-01-24,200491.29376714712,552011.7050810461
2023-01-25,322857.7612351414,548128.0753618635
2023-01-26,302203.91482087626,544431.2253053994
2023-01-27,373892.9994013385,540241.9179745323
2023-01-28,433660.350663304,536576.6145222768
2023-01-29,555383.036614933,532518.642649272
2023-01-30,517456.8488098857,528496.9703886312
2023-01-31,339252.9728795483,525139.4931266257
2023-02-01,281278.24809367256,522271.5700369397
2023-02-02,344667.2913148138,520210.0314183136
2023-02-03,257675.67878306183,518992.14389090845
2023-02-04,235027.47359702428,518344.6914341822
2023-02-05,232205.82134233086,518475.47712225653
2023-02-06,242172.10138228638,519750.42789882136
2023-02-07,281351.8463943064,520177.932690057
2023-02-08,473891.9209030762,520754.02442118444
2023-02-09,404696.8048513966,521861.56883140013
2023-02-10,460762.3992090259,522400.28251412325
2023-02-11,594350.8722787512,523522.14114301564
2023-02-12,397032.8762525549,525128.0583381946
2023-02-13,472252.1404853332,525675.2503994982
2023-02-14,686651.794788201,526101.1371410905
2023-02-15,765394.6080359222,527516.8422738039
2023-02-16,478906.59192650334,529486.1093492091
2023-02-17,575077.4824496568,531530.1083197774
2023-02-18,612100.4469530687,534564.3697321551
2023-02-19,411606.91920038406,537584.5364666199
2023-02-20,233224.62571565996,540099.1082996489
2023-02-21,519699.34406799055,541825.5124920169
2023-02-22,488345.0561505212,544032.4213506539
2023-02-23,612209.896164886,544047.3832508519
2023-02-24,831138.729510155,543603.0877853929
2023-02-25,546628.4828612786,544231.734665137
2023-02-26,664697.0097728824,544988.0776796099
2023-02-27,532948.9311276247,547546.8130442471
2023-02-28,567392.9078303392,549002.9096193244
2023-03-01,784413.0659195713,552239.7842617177
2023-03-02,815651.1776501858,555992.1062109448
2023-03-03,709935.7965353064,560593.1768935199
2023-03-04,468222.51460309327,564906.9915656865
2023-03-05,830517.9055431662,568809.3539225241
2023-03-06,890982.7717486885,574263.7356815103
2023-03-07,995645.62396873,580254.662868725
2023-03-08,1242467.9502539567,587601.1901545089
2023-03-09,1315586.9871075987,596387.8123268912
2023-03-10,1166817.0314830118,605534.4817081658
2023-03-11,1167308.740320407,616780.6823181013
2023-03-12,1023648.5932054108,628402.413990563
2023-03-13,1145885.3399009807,638861.9641500732
2023-03-14,1285357.6199066788,650828.9633082888
2023-03-15,1789521.736200355,663817.9527732176
2023-03-16,2262494.908581562,680299.3917617379
2023-03-17,2646170.3199803815,698827.2330087111
2023-03-18,3007955.339763237,720770.5817031042
2023-03-19,2836196.425390754,745554.8205386149
2023-03-20,1887386.291516537,771183.0846180783
2023-03-21,2846780.4348849547,797307.5989834053
2023-03-22,3676906.2843390577,824311.2030970593
2023-03-23,2713251.317011808,852695.7798416527
2023-03-24,2136234.139501361,879790.1183925864
2023-03-25,2882062.0653596306,906657.0675513133
2023-03-26,3507918.0208722325,935218.6195537132
2023-03-27,4018553.731194402,965502.4204310924
2023-03-28,4318663.679070337,996584.616493702
2023-03-29,4361277.4933614265,1029708.3509920299
2023-03-30,4278131.850380535,1064113.265116594
2023-03-31,2583430.165424016,1099514.7054713909
2023-04-01,2805946.2731066016,1131983.1547663722
2023-04-02,2810800.1966963275,1164227.8833422177
2023-04-03,3291203.1776868696,1194979.1917984083
2023-04-04,3537147.4093667334,1225140.3875547752
2023-04-05,3481141.971251342,1256513.3567709199
2023-04-06,1524290.8408338928,1288575.2389861052
2023-04-07,2077972.1432949766,1320142.6851575195
2023-04-08,1397295.2981762902,1354811.3724784846
2023-04-09,895071.8780214973,1387994.419583845
2023-04-10,1291542.7948758649,1421382.0779936642
2023-04-11,1408353.5508767203,1454925.4679396432
2023-04-12,2046767.976807911,1491489.1438368356
2023-04-13,1923213.98256195,1528758.2555229396
2023-04-14,2501072.327902735,1563944.6752997153
2023-04-15,1776394.0516703157,1601195.8675003147
2023-04-16,1268002.1562779755,1633132.697692026
2023-04-17,1453685.0817853822,1663344.2057630937
2023-04-18,1516686.910423192,1692177.5953970137
2023-04-19,1510459.7518758173,1723146.6747813742
2023-04-20,1243601.9244194198,1753318.547036681
2023-04-21,1216206.0579276397,1781511.877503183
2023-04-22,1050827.6720779934,1813131.0115273227
2023-04-23,1057211.828519117,1840412.152890573
2023-04-24,1469331.961376126,1868239.8577476058
2023-04-25,2338530.044101624,1898853.686916662
2023-04-26,2251371.97508088,1926840.2311731032
2023-04-27,3149596.218307652,1951665.5749137986
2023-04-28,4017790.021534576,1977388.4465272184
2023-04-29,4617366.903348858,2003301.0305834496
2023-04-30,3826214.2224352863,2030740.633492256
2023-05-01,3783082.447151291,2056233.5133006703
2023-05-02,4227914.426967183,2082103.659623772
2023-05-03,4494680.314501706,2110469.819763795
2023-05-04,4074886.361585495,2139840.572212242
2023-05-05,2142667.8899775487,2167747.4241084005
2023-05-06,2567548.382522678,2186562.5057679606
2023-05-07,3290393.6330311736,2207768.815687839
2023-05-08,3298953.394526101,2233017.9153908812
2023-05-09,3480074.7444057227,2259268.7645688164
2023-05-10,3819010.554234312,2289214.3026884366
2023-05-11,3914257.5928024976,2322272.250037009
2023-05-12,4021699.957771859,2357822.1343838745
2023-05-13,4154950.082952409,2396744.764498724
2023-05-14,4285139.03718733,2433326.1461064513
2023-05-15,4390533.5195240555,2468351.608547176
2023-05-16,4273433.5145709105,2503716.650948976
2023-05-17,4372776.576731758,2541188.7098371196
2023-05-18,4286554.000731012,2579276.2792146914
2023-05-19,4244307.357504231,2616947.923424974
2023-05-20,4014256.214919751,2654410.0832623974
2023-05-21,3511098.348322362,2688075.739602342
2023-05-22,3316174.36844647,2718424.4377456107
2023-05-23,3689605.138155057,2746720.335126603
2023-05-24,3943070.425776395,2775777.6164900246
2023-05-25,4205181.700112435,2808683.8867697595
2023-05-26,4276307.18149479,2845689.0391844427
2023-05-27,4084151.430693295,2880653.9147978295
2023-05-28,4353877.613294273,2913258.252724511
2023-05-29,4319874.924963797,2946017.3715980984
2023-05-30,4441965.926048702,2972335.5319864694
2023-05-31,4435801.926063581,2996709.9548345953
2023-06-01,4343639.881560379,3020081.0064332252
2023-06-02,4301448.64541218,3043666.31762668
2023-06-03,4133728.0630164463,3065005.687526658
2023-06-04,4204013.611583215,3082822.8356881454
2023-06-05,4322022.375207137,3099181.634025062
2023-06-06,4475679.673185189,3115261.0094746063
2023-06-07,4566099.580392234,3132849.795639446
2023-06-08,4474415.123915202,3160392.342206021
2023-06-09,3113242.5816599303,3192615.670154059
2023-06-10,1831079.2048351173,3205468.3884199313
2023-06-11,3350449.507943697,3203333.104754176
2023-06-12,3870917.5449959617,3210701.6278678067
2023-06-13,3566300.6241667974,3216853.864128778
2023-06-14,3840194.682437389,3214100.1613206607
2023-06-15,4133119.8348075766,3221535.901784727
2023-06-16,3084572.73144953,3228026.43394208
2023-06-17,3601696.282893978,3227656.9006403657
2023-06-18,3509481.3154794774,3231719.4280960867
2023-06-19,3178798.7519984026,3238424.45668428
2023-06-20,2815103.233887866,3233977.3365801177
2023-06-21,3477371.7691074247,3237113.0338417785
2023-06-22,3727656.3894932037,3240870.8485729536
2023-06-23,3904111.220655786,3240358.102827446
2023-06-24,3905725.707026613,3233068.324845937
2023-06-25,4133934.0232423428,3223475.5861634426
2023-06-26,4188455.187242844,3209621.729942099
2023-06-27,4090667.675150655,3188951.8029459333
2023-06-28,4135084.004766017,3163907.6719813435
2023-06-29,4081242.610362565,3138970.332876673
2023-06-30,4051501.3925281055,3113671.5192602673
2023-07-01,4111648.5903595407,3088126.07283166
2023-07-02,4120335.517879466,3064304.212175991
2023-07-03,4199874.896671215,3042749.092258863
2023-07-04,4201277.39679107,3027086.970845473
2023-07-05,4173518.874611283,3014533.895758317
2023-07-06,4176127.1257174024,3008447.4346123356
2023-07-07,4024928.428830835,3003391.7050758074
2023-07-08,3984687.125894821,3003386.941732428
2023-07-09,4107417.310802703,3008497.4021124123
2023-07-10,4031253.651765034,3012295.0815197527
2023-07-11,4095800.384383736,3012346.014155053
2023-07-12,4102190.019912961,3010092.7079477147
