,Unnamed: 0,Study_ID,Study_Name,Location_ID,Location_Description,Instrument_ID,Field_Collection_Type,Field_Collector,Time_Zone,Field_Collection_Date,Field_Collection_Time,Field_Collection_Date_Time,Field_Collection_Comment,Matrix,Source,Z,Depth_Value_Units,Result_Parameter_Name,Result_Value,Result_Value_Units,Result_Data_Qualifier,Result_Method,Result_Method_Description,Result_Comment,Result_Data_Review_Status,Lat,Lon,Continuous_Result_System_ID,dtUTC,j,i,SHEM,k,v202111,v202410
0,0,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:00,1/19/2024 9:47:00 PM,,Water,Salt/Marine Water,1.5,m,Dissolved Oxygen,10.207547809124,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479909,2024-01-19 21:47:00.000000,71,138,230.12994384765625,1,243.0648956298828,211.5011749267578
1,1,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:01.4000000,1/19/2024 9:47:01 PM,,Water,Salt/Marine Water,2.0,m,Dissolved Oxygen,9.96754181361198,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479910,2024-01-19 21:47:01.400000,71,138,230.12994384765625,1,243.0648956298828,211.5011749267578
2,2,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:02.8000000,1/19/2024 9:47:02 PM,,Water,Salt/Marine Water,2.5,m,Dissolved Oxygen,9.79985381674767,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479911,2024-01-19 21:47:02.800000,71,138,225.9311981201172,2,239.71690368652344,210.64073181152344
3,3,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:04.2000000,1/19/2024 9:47:04 PM,,Water,Salt/Marine Water,3.0,m,Dissolved Oxygen,9.71162381839752,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479912,2024-01-19 21:47:04.200000,71,138,225.9311981201172,2,239.71690368652344,210.64073181152344
4,4,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:05.6000000,1/19/2024 9:47:05 PM,,Water,Salt/Marine Water,3.5,m,Dissolved Oxygen,9.23528382730484,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479913,2024-01-19 21:47:05.600000,71,138,205.8283233642578,3,222.3751678466797,194.4417266845703
5,5,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:07,1/19/2024 9:47:07 PM,,Water,Salt/Marine Water,4.0,m,Dissolved Oxygen,8.75159983634949,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479914,2024-01-19 21:47:07.000000,71,138,205.8283233642578,3,222.3751678466797,194.4417266845703
6,6,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:08.4033333,1/19/2024 9:47:08 PM,,Water,Salt/Marine Water,4.5,m,Dissolved Oxygen,8.38837784314156,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479915,2024-01-19 21:47:08.403333,71,138,195.22775268554688,4,215.9029693603516,178.9659881591797
7,7,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:09.8033333,1/19/2024 9:47:09 PM,,Water,Salt/Marine Water,5.0,m,Dissolved Oxygen,7.96079385113716,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479916,2024-01-19 21:47:09.803333,71,138,195.22775268554688,4,215.9029693603516,178.9659881591797
8,8,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:11.2033333,1/19/2024 9:47:11 PM,,Water,Salt/Marine Water,5.5,m,Dissolved Oxygen,7.40407786154747,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479917,2024-01-19 21:47:11.203333,71,138,192.5026092529297,5,211.14117431640625,171.61038208007812
9,9,MarineWater,Long-term marine water column monitoring 1999-present. (Transitional data that has not yet been through a documented Data Entry Review process can be found in EIM Study ID “MarineWater-P”).,HCB007,Hood Canal - Lynch Cove,SBE 43,Measurement,WA Dept of Ecology,UTC - Coordinated Universal Time,01/19/2024,21:47:12.6033333,1/19/2024 9:47:12 PM,,Water,Salt/Marine Water,6.0,m,Dissolved Oxygen,6.48781187868118,mg/L,,DO-CLARK,Dissolved Oxygen (DO) by Electrochemical Polarographic (Clark/Beckman) Cell Sensor with Fixed Membrane (Flow Dependent),,Final,47.3983355414537,-122.928314938546,242479918,2024-01-19 21:47:12.603333,71,138,192.5026092529297,5,211.14117431640625,171.61038208007812
