Parameter,Base,Diatpref,Exchbac,Exchbac_2,Growthflag,Growthflag_2,Mortbac,Predflag,Remin
zz_rate_uzoo_diatPref,0.26,0.17,0.26,0.26,0.26,0.26,0.26,0.26,0.26
zz_rate_mesozoo_diatPref,0.3475,0.3475,0.3475,0.3475,0.3475,0.3475,0.3475,0.385,0.3475
zz_rate_uzoo_hbacPref,0.17,0.26,0.17,0.17,0.17,0.17,0.17,0.17,0.17
zz_rate_HBac_excr,1.45E-06,1.45E-06,1.60E-06,3.80E-06,1.45E-06,1.45E-06,1.45E-06,1.45E-06,4.00E-06
zz_rate_R_flag,1.80E-05,1.80E-05,1.80E-05,1.80E-05,2.00E-05,2.80E-05,1.80E-05,1.80E-05,1.80E-05
zz_rate_HBac_Rm,3.50E-07,3.50E-07,3.50E-07,3.50E-07,3.50E-07,3.50E-07,3.90E-07,3.50E-07,3.50E-07
zz_rate_mesozoo_flagPref,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0,0.122
zz_rate_mesozoo_PON_Pref,0.183,0.183,0.183,0.183,0.183,0.183,0.183,0.23,0.183
zz_rate_mesozoo_Z_Pref,0.3475,0.3475,0.3475,0.3475,0.3475,0.3475,0.3475,0.385,0.3475
zz_rate_HBac_NO3HalfSat,1,1,1,1,1,1,1,1,0.1
zz_rate_HBac_NH4HalfSat,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15
zz_frac_waste_ZEX_NH,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.35
zz_frac_waste_ZEX_PON,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4
zz_remin_NH,3.50E-06,3.50E-06,3.50E-06,3.50E-06,3.50E-06,3.50E-06,3.50E-06,3.50E-06,1.40E-05
