,F1,FE1,L1,LE1,S1,SE1,F2,FE2,L2,LE2,S2,SE2,F3,FE3,L3,LE3,S3,SE3,F4,FE4,L4,LE4,S4,SE4,F5,FE5,L5,LE5,S5,SE5
0,0.0010004859434862344,0.00026657424594080987,0.00035289346646648074,1.4560316095071705e-05,0.0001362914893411875,5.075489971367544e-06,0.0008764461477095988,0.00025718317498569664,0.0002817769957147992,1.3638254307041607e-05,9.904911065153879e-05,4.1833810739254435e-06,4.040555054369576e-05,1.117367957357944e-05,0.00036513196487776903,9.592693967224127e-06,0.0004800147855008611,9.223684044244189e-06,0.002205121378884404,0.0006066038287440426,0.0002564099562929369,2.273336465659121e-05,4.011890154987313e-05,2.534510926668673e-06,6.02520509709417e-05,2.2341134598376334e-05,0.0010264213016079062,2.2585396876025192e-05,0.0010089832151381044,1.3387816191166181e-05
1,1.200923903991775e-05,5.226017283971361e-06,3.048429900977565e-06,4.930250947329439e-07,3.963696028633445e-06,7.901247459111479e-07,0.0,0.0,8.620204520693666e-08,8.695876583944928e-08,0.0,0.0,0.00036534048366460324,8.561975667540644e-05,0.000507704564188742,1.471921320594533e-05,0.0003660764651493706,8.607029790169472e-06,0.006743667682424988,0.0019113930599008566,0.0005048505476579349,7.196826191886995e-05,4.4913360711058757e-07,2.5848686265387553e-07,0.0002861581917070218,7.472293173453602e-05,0.0012561062068993831,3.285205271829801e-05,0.0007861653375597492,1.310210380677274e-05
2,2.3879966345102257e-06,2.375093386443556e-06,4.1305996375175974e-06,6.374232827156745e-07,6.604133608154155e-07,3.4968714559191003e-07,0.0,0.0,1.6251485127647008e-07,1.1607097094910323e-07,0.0,0.0,0.00026045601449658736,7.244633138254108e-05,0.0004379980668130389,1.5602596096677716e-05,0.00023557236413423223,6.960885249118793e-06,0.00492910905782137,0.0012701113083874844,0.0004706610432219203,5.4435835544159756e-05,1.64681084475345e-06,5.373132094467434e-07,0.0004191203793291686,0.00011479680520504449,0.0010028993331954138,3.190287307570272e-05,0.00043507669736682076,1.0122227475147463e-05
3,6.700325341043435e-06,4.915938618063585e-06,1.0521604073588275e-05,2.0099155229157377e-06,2.181111246471314e-06,6.379311522342146e-07,0.0,0.0,8.620013482949457e-08,8.697897477112585e-08,0.0,0.0,0.0003005914902099885,8.692383023793155e-05,0.00031423510292375833,1.740280363133562e-05,0.00011929519691090829,4.628083428048237e-06,0.002352509735210055,0.0005931826283786803,0.00031726539278311284,3.155039021124066e-05,1.4970788452659773e-06,5.176024617548343e-07,0.0009074168032407003,0.00022511387039687888,0.0006663437553699328,3.0705469551459216e-05,0.00018470843540748544,6.402083233718007e-06
4,1.585240488253639e-05,5.73384146434209e-06,1.7592245310774207e-06,3.8862517041489014e-07,1.4873484389926183e-06,4.7118938511844773e-07,0.0,0.0,1.627890039062373e-07,1.1616381271802264e-07,0.0,0.0,0.0003435934201824016,7.894905532362753e-05,0.00012524595311927338,2.7272618052399464e-05,4.096934311889272e-05,2.567458780728878e-06,0.0014999156284111726,0.0004112286377554868,9.799034295903158e-05,1.5897600450156254e-05,1.510689705595757e-07,1.50748017901249e-07,0.0014210405960059867,0.0004851383175161629,0.00021011619783807531,1.7980975051231783e-05,6.811178319376384e-05,3.4613605508683924e-06
5,4.459199889126485e-06,3.972554364904966e-06,2.0001239687616603e-06,5.750642537565884e-07,9.256733876317802e-07,3.7804357493931196e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00036600532482141237,9.386594348401612e-05,4.524193008734752e-05,5.103540587705059e-06,9.497430441322823e-06,1.217037789718975e-06,0.0011295008501466545,0.00032404982997766865,7.268491371936449e-05,1.2341578318177036e-05,0.0,0.0,0.0025868362866160732,0.0007877137789973673,0.00014452428044616346,2.3946654462075456e-05,3.902024878043179e-05,2.509940747639259e-06
6,2.230589736749099e-05,8.230445312610541e-06,2.227591940828944e-06,6.145494817716988e-07,1.056442778289419e-06,4.1592448446026875e-07,2.720561883613462e-06,2.6728760896859055e-06,0.0,0.0,0.0,0.0,0.0003769048337466698,0.00010465776187294719,2.5632747624564126e-05,4.282723079400554e-06,5.699990808320053e-06,1.006180262318969e-06,0.0008954520990795084,0.00024517200835880837,5.212180427662889e-05,8.0655841918619e-06,0.0,0.0,0.0027287512597625094,0.000972141401098558,8.379322784937148e-05,2.030261118793577e-05,1.4780650565956906e-05,1.5682263785525302e-06
7,1.3700175681945006e-05,5.36420257113135e-06,2.0080726968479307e-06,5.206961925653627e-07,7.921651732789915e-07,3.7241178557301705e-07,0.0,0.0,8.633875570831962e-08,8.695592277221726e-08,0.0,0.0,0.0008070154564839258,0.00030520939211372086,2.7861837944430938e-05,6.2045347074056605e-06,3.739151441706276e-06,7.730491263470541e-07,0.0008065392594210635,0.0002526419194124852,4.420016154178568e-05,6.2064019961802e-06,0.0,0.0,0.0027772959061318973,0.0009151698708947334,7.532476927772987e-05,2.457716846386379e-05,4.971299209566634e-06,1.0577825678429084e-06
8,4.095261670172385e-06,2.8605122784880738e-06,1.956943660709561e-06,7.650473773536535e-07,1.0557870476086678e-06,3.7172076851667213e-07,0.0,0.0,8.623180524901361e-08,8.696209906896202e-08,0.0,0.0,0.0009391439030565146,0.00031813779499671204,3.177461446091922e-05,9.27985482438885e-06,1.880535124217841e-06,7.052067244717448e-07,0.000456799972405193,0.00014916048354075517,3.3979622790731497e-05,4.878953664894356e-06,0.0,0.0,0.0007619277608745946,0.00026793419520980107,2.9195061428550642e-05,8.241604667962268e-06,1.4717194939966737e-06,4.6528417646240656e-07
9,1.5442724789591434e-05,5.621019618424273e-06,1.9869404066289726e-06,6.131642465576664e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001427413773621621,0.00047478415012601076,4.5779576722824014e-05,1.4313584228766727e-05,3.069645730715091e-06,9.793763236699659e-07,0.00021072481700872632,6.408513482955723e-05,2.817759708492822e-05,4.207483026251263e-06,0.0,0.0,0.00014680293547030985,5.838166569609277e-05,1.2216616968982957e-05,2.052264584686631e-06,2.9813865740625823e-06,7.280915705378175e-07
